"","Phy","Valid","abs_lat_native","total.area.introduced","Stratum","Phy_all_underscore","total.area.native","LogArea.native","Name","EFN","Domatia","Seed_Dispersal"
"2774","Temnothorax_gredosi","Temnothorax.gredosi",43.17705058,0,NA,"Temnothorax_gredosi",1033582.991,6.014345354,"Temnothorax gredosi",0,0,0
"2775","Temnothorax_himachalensis","Temnothorax.himachalensis",32.94000058,0,NA,"Temnothorax_himachalensis",159671.4654,5.203227311,"Temnothorax himachalensis",0,0,0
"2776","Temnothorax_interruptus","Temnothorax.interruptus",45.07070058,0,NA,"Temnothorax_interruptus",17283297.2,7.237626598,"Temnothorax interruptus",0,0,0
"2777","Temnothorax_italicus","Temnothorax.italicus",42.50580058,0,NA,"Temnothorax_italicus",328289.2677,5.516256685,"Temnothorax italicus",0,0,0
"2778","Temnothorax_jailensis","Temnothorax.jailensis",45.14830058,0,NA,"Temnothorax_jailensis",1174071.432,6.069694521,"Temnothorax jailensis",0,0,0
"2779","Temnothorax_kashmirensis","Temnothorax.kashmirensis",32.94000058,0,NA,"Temnothorax_kashmirensis",159671.4654,5.203227311,"Temnothorax kashmirensis",0,0,0
"2780","Temnothorax_kraussei","Temnothorax.kraussei",37.01650058,0,NA,"Temnothorax_kraussei",5527637.641,6.742539566,"Temnothorax kraussei",0,0,0
"2781","Temnothorax_lichtensteini","Temnothorax.lichtensteini",39.36430058,0,NA,"Temnothorax_lichtensteini",2845882.16,6.454216913,"Temnothorax lichtensteini",0,0,0
"2782","Temnothorax_longispinosus","Temnothorax.longispinosus",46.38790058,493663.7919,"Epigaeic","Temnothorax_longispinosus",8285948.092,6.918342208,"Temnothorax longispinosus",0,0,1
"2783","Temnothorax_luteus","Temnothorax.luteus",40.78430058,0,NA,"Temnothorax_luteus",4100307.698,6.612816449,"Temnothorax luteus",0,0,0
"2784","Temnothorax_mekira","Temnothorax.mekira",24.83721924,0,NA,"Temnothorax_mekira",32.80977289,1.516003224,"Temnothorax mekira",0,0,0
"2785","Temnothorax_microreticulatus","Temnothorax.microreticulatus",31.78385058,0,NA,"Temnothorax_microreticulatus",54904.72612,4.73960973,"Temnothorax microreticulatus",0,0,0
"2786","Temnothorax_minutissimus","Temnothorax.minutissimus",41.08030058,0,NA,"Temnothorax_minutissimus",893206.6949,5.95095197,"Temnothorax minutissimus",0,0,0
"2787","Temnothorax_mortoni","Temnothorax.mortoni",21.54970058,0,NA,"Temnothorax_mortoni",110220.0982,5.042260794,"Temnothorax mortoni",0,0,0
"2788","Temnothorax_nadigi","Temnothorax.nadigi",39.95605058,0,NA,"Temnothorax_nadigi",4770022.507,6.678520428,"Temnothorax nadigi",0,0,0
"2789","Temnothorax_nevadensis","Temnothorax.nevadensis",42.92160058,0,NA,"Temnothorax_nevadensis",5105468.271,6.708035582,"Temnothorax nevadensis",0,0,0
