Phy,Name,EFN
Epopostruma_monstrosa,Epopostruma monstrosa,0
Euprenolepis_procera,Euprenolepis procera,0
Euprenolepis_wittei,Euprenolepis wittei,0
Eurhopalothrix_bolaui,Eurhopalothrix bolaui,0
Eutetramorium_mocquerysi,Eutetramorium mocquerysi,0
Forelius_chalybaeus,Forelius chalybaeus,0
Forelius_pruinosus,Forelius pruinosus,1
Formica_aquilonia,Formica aquilonia,0
Formica_aserva,Formica aserva,0
Formica_candida,Formica candida,0
Formica_clara,Formica clara,0
Formica_densiventris,Formica densiventris,0
Formica_exsectoides,Formica exsectoides,0
Formica_fukaii,Formica fukaii,0
Formica_fusca,Formica fusca,1
Formica_gagatoides,Formica gagatoides,0
Formica_japonica,Formica japonica,1
Formica_lasioides,Formica lasioides,0
Formica_moki,Formica moki,0
Formica_neogagates,Formica neogagates,0
Formica_obscuripes,Formica obscuripes,0
Formica_rufa,Formica rufa,0
Formica_sanguinea,Formica sanguinea,0
Formica_sinensis,Formica sinensis,0
Formica_subintegra,Formica subintegra,0
Formica_subsericea,Formica subsericea,0
Formica_uralensis,Formica uralensis,0
Formica_wheeleri,Formica wheeleri,0
Formicoxenus_diversipilosus,Formicoxenus diversipilosus,0
Formicoxenus_provancheri,Formicoxenus provancheri,0
Froggattella_kirbii,Froggattella kirbii,0
Gigantiops_destructor,Gigantiops destructor,1
Gnamptogenys_striatula,Gnamptogenys striatula,0
Goniomma_blanci,Goniomma blanci,0
Goniomma_hispanicum,Goniomma hispanicum,0
Gracilidris_pombero,Gracilidris pombero,0
Hagensia_havilandi,Hagensia havilandi,0
Harpagoxenus_sublaevis,Harpagoxenus sublaevis,0
Harpegnathos_saltator,Harpegnathos saltator,0
Harpegnathos_venator,Harpegnathos venator,0
Huberia_striata,Huberia striata,0
Hypoponera_opacior,Hypoponera opacior,0
Hypoponera_punctatissima,Hypoponera punctatissima,0
Iberoformica_subrufa,Iberoformica subrufa,0
Iridomyrmex_pallidus,Iridomyrmex pallidus,0
Iridomyrmex_purpureus,Iridomyrmex purpureus,0
Iridomyrmex_sanguineus,Iridomyrmex sanguineus,0
Labidus_coecus,Labidus coecus,0
Labidus_praedator,Labidus praedator,0
Lasius_alienus,Lasius alienus,0
Lasius_brunneus,Lasius brunneus,0
Lasius_cinereus,Lasius cinereus,0
Lasius_claviger,Lasius claviger,0
Lasius_emarginatus,Lasius emarginatus,1
Lasius_grandis,Lasius grandis,0
Lasius_lasioides,Lasius lasioides,0
Lasius_latipes,Lasius latipes,0
Lasius_neoniger,Lasius neoniger,0
Lasius_niger,Lasius niger,1
Lasius_platythorax,Lasius platythorax,0
Lasius_psammophilus,Lasius psammophilus,0
Lenomyrmex_colwelli,Lenomyrmex colwelli,0
Leptanilloides_femoralis,Leptanilloides femoralis,0
Leptanilloides_gracilis,Leptanilloides gracilis,0
Leptanilloides_mckennae,Leptanilloides mckennae,0
Leptanilloides_nomada,Leptanilloides nomada,0
Leptogenys_attenuata,Leptogenys attenuata,0
Leptogenys_chinensis,Leptogenys chinensis,0
Leptogenys_diminuta,Leptogenys diminuta,0
Leptogenys_falcigera,Leptogenys falcigera,0
Leptogenys_maxillosa,Leptogenys maxillosa,0
Leptomyrmex_flavitarsus,Leptomyrmex flavitarsus,0
Leptomyrmex_pallens,Leptomyrmex pallens,0
Leptothorax_acervorum,Leptothorax acervorum,0
Linepithema_angulatum,Linepithema angulatum,0
Linepithema_humile,Linepithema humile,1
Linepithema_iniquum,Linepithema iniquum,0
Linepithema_micans,Linepithema micans,0
Linepithema_neotropicum,Linepithema neotropicum,0
Linepithema_piliferum,Linepithema piliferum,0
Liometopum_apiculatum,Liometopum apiculatum,1
Liometopum_luctuosum,Liometopum luctuosum,0
Liometopum_occidentale,Liometopum occidentale,0
Liomyrmex_gestroi,Liomyrmex gestroi,0
Lophomyrmex_ambiguus,Lophomyrmex ambiguus,0
Lordomyrma_azumai,Lordomyrma azumai,0
Lordomyrma_reticulata,Lordomyrma reticulata,0
Lordomyrma_rugosa,Lordomyrma rugosa,0
Loweriella_boltoni,Loweriella boltoni,0
Manica_bradleyi,Manica bradleyi,0
Manica_rubida,Manica rubida,0
Martialis_heureka,Martialis heureka,0
Mayriella_transfuga,Mayriella transfuga,0
Megalomyrmex_foreli,Megalomyrmex foreli,0
Megalomyrmex_silvestrii,Megalomyrmex silvestrii,0
Melissotarsus_beccarii,Melissotarsus beccarii,0
Melissotarsus_emeryi,Melissotarsus emeryi,0
Melissotarsus_insularis,Melissotarsus insularis,0
Meranoplus_castaneus,Meranoplus castaneus,0
Messor_bouvieri,Messor bouvieri,0
Messor_capitatus,Messor capitatus,0
Messor_minor,Messor minor,0
Messor_wasmanni,Messor wasmanni,0
Metapone_madagascarica,Metapone madagascarica,0
Monomorium_aithoderum,Monomorium aithoderum,0
Monomorium_antipodum,Monomorium antipodum,0
Monomorium_cyaneum,Monomorium cyaneum,1
Monomorium_denticulatum,Monomorium denticulatum,0
Monomorium_ergatogyna,Monomorium ergatogyna,0
Monomorium_exiguum,Monomorium exiguum,0
Monomorium_fieldi,Monomorium fieldi,0
Monomorium_floricola,Monomorium floricola,0
Monomorium_hanneli,Monomorium hanneli,0
Monomorium_madecassum,Monomorium madecassum,0
Monomorium_pharaonis,Monomorium pharaonis,0
Monomorium_rothsteini,Monomorium rothsteini,0
Monomorium_subopacum,Monomorium subopacum,0
Monomorium_sydneyense,Monomorium sydneyense,0
Monomorium_termitobium,Monomorium termitobium,0
Mycetagroicus_triangularis,Mycetagroicus triangularis,0
Mycetophylax_conformis,Mycetophylax conformis,0
Mycetophylax_morschi,Mycetophylax morschi,0
Mycetophylax_simplex,Mycetophylax simplex,0
