Phy,,Valid,maxlatall,minlatall,midpoint,abs_lat_native
Camponotus_olivieri tenuipilis,,Camponotus.olivieri tenuipilis,2.32690058,-46.96979942,-22.32144942,22.32144942
Camponotus_ominosus,,Camponotus.ominosus,9.82830058,5.91770058,7.87300058,7.87300058
Camponotus_opaciceps,,Camponotus.opaciceps,18.74860058,11.99640058,15.37250058,15.37250058
Camponotus_opaciventris,,Camponotus.opaciventris,38.47210058,5.91770058,22.19490058,22.19490058
Camponotus_orinobates,,Camponotus.orinobates,4.62250058,-4.67279942,-0.02514942,0.02514942
Camponotus_orinus,,Camponotus.orinus,6.71110058,1.20160058,3.95635058,3.95635058
Camponotus_orites,,Camponotus.orites,-22.12389942,-46.96979942,-34.54684942,34.54684942
Camponotus_orombe,,Camponotus.orombe,-11.94559942,-25.60029942,-18.77294942,18.77294942
Camponotus_orthocephalus,,Camponotus.orthocephalus,11.21360058,-28.15199942,-8.46919942,8.46919942
Camponotus_orthodoxus,,Camponotus.orthodoxus,12.67750058,4.34470058,8.51110058,8.51110058
Camponotus_ostiarius,,Camponotus.ostiarius,-22.12389942,-46.96979942,-34.54684942,34.54684942
Camponotus_ovaticeps,,Camponotus.ovaticeps,-25.268059,-46.00029942,-35.63417921,35.63417921
Camponotus_overbecki,,Camponotus.overbecki,6.71110058,1.20160058,3.95635058,3.95635058
Camponotus_owensae,,Camponotus.owensae,-25.99919942,-38.07389942,-32.03654942,32.03654942
Camponotus_oxleyi,,Camponotus.oxleyi,-28.15009942,-37.51269942,-32.83139942,32.83139942
Camponotus_pachylepis,,Camponotus.pachylepis,17.82110058,-22.90109942,-2.53999942,2.53999942
Camponotus_palkura,,Camponotus.palkura,-25.99919942,-38.07389942,-32.03654942,32.03654942
Camponotus_pallens,,Camponotus.pallens,47.09470058,-21.45399942,12.82035058,12.82035058
Camponotus_pallescens,,Camponotus.pallescens,-7.26889942,-29.35779942,-18.31334942,18.31334942
Camponotus_pallidiceps,,Camponotus.pallidiceps,-28.15009942,-39.14729942,-33.64869942,33.64869942
Camponotus_palmyrensis,,Camponotus.palmyrensis,37.31960058,32.31360058,34.81660058,34.81660058
Camponotus_palpatus,,Camponotus.palpatus,1.06970058,-11.15669942,-5.04349942,5.04349942
Camponotus_panamensis,,Camponotus.panamensis,9.62570058,7.20450058,8.41510058,8.41510058
Camponotus_parabarbatus,,Camponotus.parabarbatus,33.19380058,23.88600058,28.53990058,28.53990058
Camponotus_paracolobopsis,,Camponotus.paracolobopsis,7.39690058,-5.11139942,1.14275058,1.14275058
Camponotus_paradoxus,,Camponotus.paradoxus,-19.77999942,-29.35779942,-24.56889942,24.56889942
Camponotus_paraleonardi,,Camponotus.paraleonardi,28.54910058,5.63110058,17.09010058,17.09010058
Camponotus_parius,,Camponotus.parius,36.53190058,1.20160058,18.86675058,18.86675058
Camponotus_patimae,,Camponotus.patimae,11.21360058,1.18550058,6.19955058,6.19955058
Camponotus_patimae dolentulus,,Camponotus.patimae dolentulus,8.53520058,1.18550058,4.86035058,4.86035058
Camponotus_pavidus,,Camponotus.pavidus,2.63270058,-8.35499942,-2.86114942,2.86114942
Camponotus_pawseyi,,Camponotus.pawseyi,-13.72669942,-39.14729942,-26.43699942,26.43699942
Camponotus_peleliuensis,,Camponotus.peleliuensis,8.99250058,5.26160058,7.12705058,7.12705058
Camponotus_pellarius,,Camponotus.pellarius,27.79410058,19.58540058,23.68975058,23.68975058
Camponotus_pellax,,Camponotus.pellax,-9.27529942,-29.17059942,-19.22294942,19.22294942
Camponotus_pellitus,,Camponotus.pellitus,18.74860058,-30.74829942,-5.99984942,5.99984942
Camponotus_pennsylvanicus,,Camponotus.pennsylvanicus,64.30080058,-46.96979942,8.66550058,8.66550058
Camponotus_peperi,,Camponotus.peperi,17.82110058,13.74580058,15.78345058,15.78345058
Camponotus_perjurus,,Camponotus.perjurus,-25.99919942,-38.07389942,-32.03654942,32.03654942
Camponotus_perrisii,,Camponotus.perrisii,13.89150058,-18.07619942,-2.09234942,2.09234942
Camponotus_perrisii densipunctatus,,Camponotus.perrisii densipunctatus,11.00140058,-13.45809942,-1.22834942,1.22834942
Camponotus_perrisii insularis,,Camponotus.perrisii insularis,3.77160058,-1.47949942,1.14605058,1.14605058
Camponotus_perrisii jucundus,,Camponotus.perrisii jucundus,16.69300058,-13.45809942,1.61745058,1.61745058
Camponotus_perrisii nigeriensis,,Camponotus.perrisii nigeriensis,13.89150058,-13.45809942,0.21670058,0.21670058
Camponotus_perroti,,Camponotus.perroti,-11.94559942,-25.60029942,-18.77294942,18.77294942
Camponotus_perroti aeschylus,,Camponotus.perroti aeschylus,-11.94559942,-25.60029942,-18.77294942,18.77294942
Camponotus_personatus,,Camponotus.personatus,-1.06249942,-35.00229942,-18.03239942,18.03239942
Camponotus_peseshus,,Camponotus.peseshus,-28.15009942,-37.51269942,-32.83139942,32.83139942
Camponotus_petersii,,Camponotus.petersii,-0.99729942,-46.96979942,-23.98354942,23.98354942
Camponotus_petersii janus,,Camponotus.petersii janus,-22.12389942,-46.96979942,-34.54684942,34.54684942
Camponotus_pexus,,Camponotus.pexus,35.91910058,27.66420058,31.79165058,31.79165058
Camponotus_philippinensis,,Camponotus.philippinensis,21.11800058,4.50050058,12.80925058,12.80925058
Camponotus_philwardi,,Camponotus.philwardi,-25.99919942,-39.14729942,-32.57324942,32.57324942
Camponotus_phytophilus,,Camponotus.phytophilus,28.00250058,17.15000058,22.57625058,22.57625058
Camponotus_piceatus,,Camponotus.piceatus,22.47220058,17.15000058,19.81110058,19.81110058
Camponotus_piceus,,Camponotus.piceus,64.30080058,18.97640058,41.63860058,41.63860058
Camponotus_picipes,,Camponotus.picipes,51.05360058,-33.74389942,8.65485058,8.65485058
Camponotus_picipes guatemalensis,,Camponotus.picipes guatemalensis,20.40300058,-25.31499942,-2.45599942,2.45599942
Camponotus_picipes jamaicensis,,Camponotus.picipes jamaicensis,18.52250058,17.69660058,18.10955058,18.10955058
Camponotus_picipes jason,,Camponotus.picipes jason,-9.67919942,-22.90109942,-16.29014942,16.29014942
Camponotus_picipes pilosulus,,Camponotus.picipes pilosulus,21.64440058,17.89220058,19.76830058,19.76830058
Camponotus_picipes plombyi,,Camponotus.picipes plombyi,26.92910058,17.54020058,22.23465058,22.23465058
Camponotus_picipes spengleri,,Camponotus.picipes spengleri,-19.77999942,-25.31499942,-22.54749942,22.54749942
Camponotus_pictostriatus,,Camponotus.pictostriatus,-5.43669942,-8.78249942,-7.10959942,7.10959942
Camponotus_pilicornis,,Camponotus.pilicornis,51.09110058,34.80880058,42.94995058,42.94995058
Camponotus_pilicornis siculus,,Camponotus.pilicornis siculus,46.54270058,35.49291611,41.01780834,41.01780834
Camponotus_piliventris,,Camponotus.piliventris,-9.27529942,-39.14729942,-24.21129942,24.21129942
Camponotus_pitjantjatarae,,Camponotus.pitjantjatarae,-10.96859942,-38.07389942,-24.52124942,24.52124942
Camponotus_pittieri,,Camponotus.pittieri,18.74860058,-18.34859942,0.20000058,0.20000058
Camponotus_pittieri fuscogaster,,Camponotus.pittieri fuscogaster,-0.03139942,-18.34859942,-9.18999942,9.18999942
Camponotus_pittieri poenalis,,Camponotus.pittieri poenalis,8.53520058,1.18550058,4.86035058,4.86035058
Camponotus_placidus,,Camponotus.placidus,-5.43669942,-8.78249942,-7.10959942,7.10959942
Camponotus_planatus,,Camponotus.planatus,27.79410058,-18.03809942,4.87800058,4.87800058
Camponotus_planatus acaciae,,Camponotus.planatus acaciae,17.82110058,7.20450058,12.51280058,12.51280058
