bentity2_name,Phy,Genus_name,Ecological.Stratum,Exotic_status,Notes,area_sqkm
Arkansas,Strumigenys_membranifera,Strumigenys,Arboreal & Epigaeic & Hypogaeic,Exotic,,137529.4042
Arkansas,Tetramorium_immigrans,Tetramorium,Arboreal & Epigaeic,Exotic,,137529.4042
Arkansas,Cardiocondyla_venustula,Cardiocondyla,Epigaeic,Exotic,,137529.4042
Arkansas,Paratrechina_longicornis,Paratrechina,Epigaeic,Exotic,,137529.4042
Arkansas,Tetramorium_bicarinatum,Tetramorium,Arboreal & Epigaeic,Exotic,,137529.4042
Arkansas,Brachyponera_chinensis,Brachyponera,Epigaeic,Exotic,,137529.4042
Arkansas,Linepithema_humile,Linepithema,Epigaeic,Exotic,,137529.4042
Arkansas,Brachymyrmex_patagonicus,Brachymyrmex,Arboreal & Epigaeic,Exotic,,137529.4042
Armenia,Hypoponera_punctatissima,Hypoponera,Epigaeic & Hypogaeic,Exotic,,29905.92863
Armenia,Monomorium_pharaonis,Monomorium,Arboreal & Epigaeic,Indoor Introduced,,29905.92863
Arunachal Pradesh,Monomorium_pharaonis,Monomorium,Arboreal & Epigaeic,Exotic,,82031.81035
Arunachal Pradesh,Cardiocondyla_mauritanica,Cardiocondyla,Epigaeic,Exotic,,82031.81035
Arunachal Pradesh,Hypoponera_ragusai,Hypoponera,Epigaeic & Hypogaeic,Exotic,,82031.81035
Arunachal Pradesh,Strumigenys_membranifera,Strumigenys,Arboreal & Epigaeic & Hypogaeic,Exotic,,82031.81035
Arunachal Pradesh,Tetramorium_bicarinatum,Tetramorium,Arboreal & Epigaeic,Exotic,,82031.81035
Arunachal Pradesh,Solenopsis_geminata,Solenopsis,Epigaeic & Hypogaeic,Exotic,,82031.81035
Arunachal Pradesh,Strumigenys_emmae,Strumigenys,Arboreal & Epigaeic & Hypogaeic,Exotic,,82031.81035
Arunachal Pradesh,Tetramorium_pacificum,Tetramorium,Arboreal & Epigaeic,Exotic,,82031.81035
Arunachal Pradesh,Tetramorium_simillimum,Tetramorium,Arboreal & Epigaeic,Exotic,,82031.81035
Assam,Hypoponera_ragusai,Hypoponera,Epigaeic & Hypogaeic,Exotic,,79171.99861
Assam,Strumigenys_emmae,Strumigenys,Arboreal & Epigaeic & Hypogaeic,Exotic,,79171.99861
Assam,Tetramorium_pacificum,Tetramorium,Arboreal & Epigaeic,Exotic,,79171.99861
Assam,Monomorium_pharaonis,Monomorium,Arboreal & Epigaeic,Exotic,,79171.99861
Assam,Strumigenys_membranifera,Strumigenys,Arboreal & Epigaeic & Hypogaeic,Exotic,,79171.99861
Assam,Solenopsis_geminata,Solenopsis,Epigaeic & Hypogaeic,Exotic,,79171.99861
Assam,Cardiocondyla_mauritanica,Cardiocondyla,Epigaeic,Exotic,,79171.99861
Assam,Tetramorium_simillimum,Tetramorium,Arboreal & Epigaeic,Exotic,,79171.99861
Assam,Tetramorium_bicarinatum,Tetramorium,Arboreal & Epigaeic,Exotic,,79171.99861
Atlantico,Paratrechina_longicornis,Paratrechina,Epigaeic,Exotic,,3388.632673
Atlantico,Monomorium_pharaonis,Monomorium,Arboreal & Epigaeic,Exotic,,3388.632673
Atlantico,Trichomyrmex_destructor,Trichomyrmex,Epigaeic,Exotic,,3388.632673
Atlantico,Tetramorium_simillimum,Tetramorium,Arboreal & Epigaeic,Exotic,,3388.632673
Atlantico,Tetramorium_bicarinatum,Tetramorium,Arboreal & Epigaeic,Exotic,,3388.632673
Atlantico,Tapinoma_melanocephalum,Tapinoma,Arboreal & Epigaeic,Exotic,,3388.632673
Austral Islands,Tetramorium_pacificum,Tetramorium,Arboreal & Epigaeic,Exotic,,148.3767923
Austral Islands,Ponera_bableti,Ponera,Epigaeic & Hypogaeic,Exotic,,148.3767923
Austral Islands,Monomorium_pharaonis,Monomorium,Arboreal & Epigaeic,Exotic,,148.3767923
Austral Islands,Solenopsis_geminata,Solenopsis,Epigaeic & Hypogaeic,Exotic,,148.3767923
Austral Islands,Pheidole_megacephala,Pheidole,Epigaeic,Exotic,,148.3767923
Austral Islands,Technomyrmex_vitiensis,Technomyrmex,Arboreal & Epigaeic,Exotic,,148.3767923
Austral Islands,Cardiocondyla_emeryi,Cardiocondyla,Epigaeic,Exotic,,148.3767923
Austral Islands,Monomorium_liliuokalanii,Monomorium,Arboreal & Epigaeic,Exotic,,148.3767923
Austral Islands,Plagiolepis_alluaudi,Plagiolepis,Epigaeic,Exotic,,148.3767923
Austral Islands,Tetramorium_bicarinatum,Tetramorium,Arboreal & Epigaeic,Exotic,,148.3767923
Austral Islands,Pheidole_fervens,Pheidole,Epigaeic,Exotic,,148.3767923
Austral Islands,Hypoponera_punctatissima,Hypoponera,Epigaeic & Hypogaeic,Exotic,,148.3767923
Austral Islands,Hypoponera_opaciceps,Hypoponera,Epigaeic & Hypogaeic,Exotic,,148.3767923
Austral Islands,Cardiocondyla_wroughtonii,Cardiocondyla,Epigaeic,Exotic,,148.3767923
Austral Islands,Tetramorium_caldarium,Tetramorium,Arboreal & Epigaeic,Exotic,,148.3767923
Austral Islands,Tetramorium_tonganum,Tetramorium,Arboreal & Epigaeic,Exotic,,148.3767923
Austral Islands,Paratrechina_longicornis,Paratrechina,Epigaeic,Exotic,,148.3767923
Austral Islands,Cardiocondyla_obscurior,Cardiocondyla,Epigaeic,Exotic,,148.3767923
Austral Islands,Cardiocondyla_minutior,Cardiocondyla,Epigaeic,Exotic,,148.3767923
Austral Islands,Tetramorium_simillimum,Tetramorium,Arboreal & Epigaeic,Exotic,,148.3767923
Austral Islands,Hypoponera_ragusai,Hypoponera,Epigaeic & Hypogaeic,Exotic,,148.3767923
Austral Islands,Hypoponera_opacior,Hypoponera,Epigaeic & Hypogaeic,Exotic,,148.3767923
Austral Islands,Strumigenys_rogeri,Strumigenys,Arboreal & Epigaeic & Hypogaeic,Exotic,,148.3767923
Austral Islands,Nylanderia_bourbonica,Nylanderia,Epigaeic,Exotic,,148.3767923
Austral Islands,Chelaner_antarcticus,Chelaner,Epigaeic,Exotic,,148.3767923
Austral Islands,Strumigenys_godeffroyi,Strumigenys,Arboreal & Epigaeic & Hypogaeic,Exotic,,148.3767923
Austral Islands,Monomorium_floricola,Monomorium,Arboreal & Epigaeic,Exotic,,148.3767923
Austral Islands,Anoplolepis_gracilipes,Anoplolepis,Epigaeic,Exotic,,148.3767923
Austral Islands,Solenopsis_invicta,Solenopsis,Epigaeic & Hypogaeic,Exotic,,148.3767923
Austral Islands,Technomyrmex_albipes,Technomyrmex,Arboreal & Epigaeic,Exotic,,148.3767923
Austral Islands,Tapinoma_melanocephalum,Tapinoma,Arboreal & Epigaeic,Exotic,,148.3767923
Austral Islands,Nylanderia_vaga,Nylanderia,Epigaeic,Exotic,,148.3767923
Austria,Linepithema_iniquum,Linepithema,Epigaeic,Indoor Introduced,,83976.57525
Austria,Pheidole_parva,Pheidole,Epigaeic,Indoor Introduced,,83976.57525
Austria,Tetramorium_bicarinatum,Tetramorium,Arboreal & Epigaeic,Indoor Introduced,,83976.57525
Austria,Hypoponera_punctatissima,Hypoponera,Epigaeic & Hypogaeic,Indoor Introduced,,83976.57525
Austria,Technomyrmex_vitiensis,Technomyrmex,Arboreal & Epigaeic,Indoor Introduced,,83976.57525
Austria,Linepithema_leucomelas,Linepithema,Epigaeic,Indoor Introduced,,83976.57525
Austria,Tetramorium_insolens,Tetramorium,Arboreal & Epigaeic,Indoor Introduced,,83976.57525
Austria,Monomorium_floricola,Monomorium,Arboreal & Epigaeic,Indoor Introduced,,83976.57525
Austria,Monomorium_pharaonis,Monomorium,Arboreal & Epigaeic,Indoor Introduced,,83976.57525
Austria,Linepithema_humile,Linepithema,Epigaeic,Indoor Introduced,,83976.57525
Austria,Technomyrmex_albipes,Technomyrmex,Arboreal & Epigaeic,Indoor Introduced,,83976.57525
Austria,Tapinoma_melanocephalum,Tapinoma,Arboreal & Epigaeic,Indoor Introduced,,83976.57525
Azerbaijan,Tapinoma_magnum,Tapinoma,Arboreal & Epigaeic,Exotic,,164162.92
Azores Islands,Pheidole_megacephala,Pheidole,Epigaeic,Exotic,,2616.793023
Azores Islands,Hypoponera_punctatissima,Hypoponera,Epigaeic & Hypogaeic,Exotic,,2616.793023
Azores Islands,Tetramorium_impurum,Tetramorium,Arboreal & Epigaeic,Exotic,,2616.793023
Azores Islands,Tapinoma_nigerrimum,Tapinoma,Arboreal & Epigaeic,Exotic,,2616.793023
Azores Islands,Brachymyrmex_heeri,Brachymyrmex,Arboreal & Epigaeic,Exotic,,2616.793023
