"Phy","fixer","num_introduced","total_area_introduced","total_area_native","lat_native","abs_lat_native","annual","uses_num_uses","submitted_name","matched_name","data_source_title","score","num_words","diff","RangeY","domY","efnY","n.records","sum.AM","sum.EM","AM","EM","EFN","matched_name_EFN","Domatia"
"Campsiandra comosa",1,0,0,5.34e+12,0.70729115,0.70729115,0,0,"Campsiandra comosa","Campsiandra comosa","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,1,1,0,"Y","N",0,NA,0
"Camptosema coriaceum",1,0,0,NA,NA,NA,0,0,"Camptosema coriaceum","Camptosema coriaceum","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Camptosema pedicellatum",1,0,0,NA,NA,NA,0,0,"Camptosema pedicellatum","Camptosema pedicellatum","Encyclopedia of Life",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Camptosema rubicundum",1,1,7.46e+11,1.18e+13,-24.58551684,24.58551684,0,0,"Camptosema rubicundum","Camptosema rubicundum","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Campylotropis macrocarpa",1,0,0,5.12e+12,29.27761405,29.27761405,0,0,"Campylotropis macrocarpa","Campylotropis macrocarpa","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Campylotropis meeboldii",1,0,0,1.28e+12,29.74896546,29.74896546,0,1,"Campylotropis meeboldii","Campylotropis meeboldii","Encyclopedia of Life",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Campylotropis speciosa",1,0,0,7.26e+11,28.36088902,28.36088902,0,0,"Campylotropis speciosa","Campylotropis speciosa","Encyclopedia of Life",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Campylotropis stenocarpa",1,0,0,1.62e+12,28.85161149,28.85161149,0,0,"Campylotropis stenocarpa","Campylotropis stenocarpa","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Canavalia africana",1,0,0,3.03e+13,14.74100318,14.74100318,0,2,"Canavalia africana","Canavalia africana","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Canavalia brasiliensis",1,1,1.47e+11,1.77e+13,11.04797933,11.04797933,0,0,"Canavalia brasiliensis","Canavalia brasiliensis","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Canavalia cathartica",1,1,16858731371,2.05e+13,-0.20727858,0.20727858,0,2,"Canavalia cathartica","Canavalia cathartica","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,1,1,0,"Y","N",0,NA,0
"Canavalia gladiata",1,26,2.74e+13,9.06e+12,15.36986344,15.36986344,0,5,"Canavalia gladiata","Canavalia gladiata","Wikispecies",0.988,2,TRUE,TRUE,FALSE,TRUE,2,2,0,"Y","N",1,"Canavalia gladiata",0
"Canavalia lineata",1,1,140457108.6,5.3e+12,19.65387221,19.65387221,0,1,"Canavalia lineata","Canavalia lineata","Wikispecies",0.988,2,TRUE,TRUE,FALSE,TRUE,3,3,0,"Y","N",1,"Canavalia lineata",0
"Canavalia rosea",1,1,252721684.5,5.3e+13,4.95202097,4.95202097,0,5,"Canavalia rosea","Canavalia rosea","Wikispecies",0.988,2,TRUE,TRUE,FALSE,TRUE,3,3,0,"Y","N",1,"Canavalia rosea",0
"Caragana ambigua",1,0,0,7.95e+11,29.35662229,29.35662229,0,2,"Caragana ambigua","Caragana ambigua","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Caragana arborescens",1,16,1.92e+13,8.7e+12,44.66466854,44.66466854,0,7,"Caragana arborescens","Caragana arborescens","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,8,8,0,"Y","N",0,NA,0
"Caragana aurantiaca",1,5,1.56e+12,1.11e+13,42.50722491,42.50722491,0,1,"Caragana aurantiaca","Caragana aurantiaca","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Caragana brevispina",1,0,0,1.09e+13,30.71060996,30.71060996,0,1,"Caragana brevispina","Caragana brevispina","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Caragana decorticans",1,0,0,1.62e+12,31.78268593,31.78268593,0,1,"Caragana decorticans","Caragana decorticans","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Caragana erinacea",1,0,0,3.61e+12,36.88903646,36.88903646,0,1,"Caragana erinacea","Caragana erinacea","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Caragana frutex",1,2,7.47e+11,1.92e+13,48.67439406,48.67439406,0,4,"Caragana frutex","Caragana frutex","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Caragana fruticosa",1,0,0,4.51e+11,47.86654263,47.86654263,0,0,"Caragana fruticosa","Caragana fruticosa","National Center for Biotechnology Information",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Caragana korshinskii",1,0,0,3.4e+12,42.50806299,42.50806299,0,0,"Caragana korshinskii","Caragana korshinskii","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,1,1,0,"Y","N",0,NA,0
"Caragana leveillei",1,0,0,8.68e+11,36.55293196,36.55293196,0,0,"Caragana leveillei","Caragana leveillei","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Caragana microphylla",1,3,1.32e+12,8.01e+12,48.83800956,48.83800956,0,3,"Caragana microphylla","Caragana microphylla","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Caragana pleiophylla",1,0,0,5e+12,43.12463505,43.12463505,0,1,"Caragana pleiophylla","Caragana pleiophylla","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Caragana polourensis",1,0,0,2.01e+12,40.50782938,40.50782938,0,0,"Caragana polourensis","Caragana polourensis","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Caragana pruinosa",1,0,0,4.55e+12,43.58270653,43.58270653,0,0,"Caragana pruinosa","Caragana pruinosa","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Caragana rosea",1,0,0,7.5e+11,36.21726516,36.21726516,0,0,"Caragana rosea","Caragana rosea","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Caragana sinica",1,1,2.44e+11,2.53e+12,28.9499186,28.9499186,0,2,"Caragana sinica","Caragana sinica","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,1,1,0,"Y","N",0,NA,0
"Caragana tragacanthoides",1,0,0,5.49e+12,36.98164367,36.98164367,0,1,"Caragana tragacanthoides","Caragana tragacanthoides","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Caragana turkestanica",1,0,0,2.42e+12,41.04857041,41.04857041,0,0,"Caragana turkestanica","Caragana turkestanica","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,1,1,0,"Y","N",0,NA,0
"Caragana versicolor",1,0,0,3.78e+12,29.59215689,29.59215689,0,3,"Caragana versicolor","Caragana versicolor","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Caragana zahlbruckneri",1,0,0,3.43e+11,38.65336287,38.65336287,0,0,"Caragana zahlbruckneri","Caragana zahlbruckneri","National Center for Biotechnology Information",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
