Ant domatium-bearing species,Family,References,Geography,Type of domatia,Confidence level,Notes
Psydrax subcordata (DC.) Bridson; Psydrax subcordata var. connata (De Wild. & T.Durand) Bridson; Psydrax subcordata var. subcordata (DC.) Bridson (= Canthium glabriflorum) (=Plectronia glabriflora (Hiern) K.Schum.),Rubiaceae,Becquaert (1922 [with different taxonomy]); Jolivet (1996); Schnell and Grout de Beaufort (1966); McKey and Davidson (1993),"Tropical Africa, West African to central African forest block",Stem domatia - swollen hollow twigs,High,
Pterocarpus amazonum (Benth.) Amshoff (= P. ancylocalyx Benth.),Fabaceae-Faboideae,Rojo (1972); Spruce (1908),Neotropics,Stem domatia - hollow stem - details unknown,Moderate,
Remijia glomerata Huber,Rubiaceae,Benson (1985); cited in Jolivet (1996),"Tropical America, Amazon",Stem domatia - hollow stem probably hollowed by ants (Camponotus and Azteca),Moderate,"Limited data on this species, appears to be a very early stage ant-plant"
Remijia physophora Benth. ex K.Schum.,Rubiaceae,Spruce (1908); Bequaert (1922); Robbrecht (1988),South America,Leaf domatia - two pouches at the base of the lamina,High,
Rothmannia libisa N.Hallé,Rubiaceae,Somers and Robbrecht (1991),Tropical Africa,Stem domatia - internodes swollen into spindle-shaped myrmecodomatia,High,
Rothmannia lujae (De Wild.) Keay,Rubiaceae,de Wildeman (1904); McKey and Davidson (1993); Jolivet (1996),"Tropical Africa, Central forest block",Stem domatia - internodes swollen into spindle-shaped myrmecodomatia,High,
Rothmannia macrocarpa (Hiern) Keay (= Randia myrmecophylla),Rubiaceae,Becquaert (1922); Keay (1958); Somers and Robbrecht (1991); Jolivet (1996),"Tropical Africa, Central forest block",Stem domatia - internodes swollen into spindle-shaped myrmecodomatia,High,
Rothmannia munsae (Schweinf. ex Hiern) E.M.A.Petit,Rubiaceae,Somers and Robbrecht (1991),Tropical Africa,Stem domatia - internodes swollen into spindle-shaped myrmecodomatia,High,
Ruprechtia cruegeri Griseb. ex Lindau,Polygonaceae,Brandbyge (1989); Pendry (2004); Sanchez (2011); characteristic hollows stems with a sort of protostoma (unvascularized point below the node where the stem cracks open c.f. Brandbyge (1989)),Neotropics,Stem domatia - hollow twigs,High,
Ruprechtia jamesonii Meisn.,Polygonaceae,Spruce (1908),Neotropics,Stem domatia - hollow twigs,Moderate,
Ruprechtia latifunda Pendry,Polygonaceae,Sanchez (2011),Neotropics,Stem domatia - hollow twigs,High,
Ruprechtia laurifolia (Schltdl. & Cham.) C.A. Mey.,Polygonaceae,Pendry (2004),Neotropics,Stem domatia - hollow twigs,High,
Ruprechtia lundii Meisn.,Polygonaceae,Pendry (2004),Neotropics,Stem domatia - hollow twigs,High,
Ruprechtia maracensis Brandbyge,Polygonaceae,Pendry (2004),Neotropics,Stem domatia - hollow twigs,High,
Ruprechtia obidensis Huber,Polygonaceae,Pendry (2004),Neotropics,Stem domatia - hollow twigs,High,
Ruprechtia tangarana Standl.,Polygonaceae,Brandbyge (1989); Pendry (2004); Association with ants observed in the field,Neotropics,Stem domatia - hollow twigs,High,
Ryparosa amplifolia Mildbr. (=syn Gertrudia amplifolia K. Schum.),Achariaceae,Schumann and Laut. (1901); Jolivet (1996); Webber et al. (2007),New Guinea,"Stem domatia - hollow twigs, slightly swollen apically and with slit-like openings",Moderate,Interaction not documented in the field for this particular species
Ryparosa fasciculata King,Achariaceae,Moog et al. (1997); Agosti et al. (1999); Webber et al. (2007),SE Asia,"Stem domatia - hollow twigs, slightly swollen",High,
Rytigynia bridsoniae Verdc. subsp. kahuzica,Rubiaceae,Verdcourt (1987),Tropical Africa,Stem domatia - hollow twigs,Moderate,Interaction not documented in the field.
Sapium laurifolium (A.Rich.) Griseb. (=Sapium utile),Euphorbiaceae,Ward (1999),Ecuador,"Stem domatia - hollow stems, soft pith hollowed by ants? Inhabited by Pseudomyrmex viduus",Moderate,
Saraca thaipingensis Prain,Fabaceae,Moog et al. (1997); Agosti et al. (1999),"SE Asia, Malaysia","Stem domatia - hollow stem, liana",High,
Saurauia sp.,Malvaceae - Sterculioideae,Merrill (1981); Jolivet (1996),SE Asia,Leaf domatia - details unknown,Moderate,
Scaphopetalum dewevrei De Wild. & T.Durand,Malvaceae - Sterculioideae,Bequaert (1922); Uphof (1942),Tropical Africa,Leaf domatia - leaf pouches at the base of the leaf blade,High,
Scaphopetalum thonneri De Wild. & T.Durand,Malvaceae - Sterculioideae,Bequaert (1922); De Wildeman (1897) ; McKey and Davidson (1993),"Tropical Africa, Central forest block; Zaire, Gabon, Cameroon, and Congo",Leaf domatia - leaf pouches at the base of the leaf blade,High,
Siparuna sp.,Monimiaceae,Benson (1983); Jolivet (1996),Amazon,"Stem domatia - hollow stems, soft pith hollowed by ants",Moderate,"One species inhabited by Pseudomyrmex ants which removes the soft pith and lives in live stems (Benson, 1983)"
Sloanea sp.,Elaeocarpaceae,Benson (1983); Jolivet (1996),Tropical America,"Stipular domatia - big foliaceous stipules inhabited by ants (Allomerus, Solenopsis, Pheidole)",Moderate,
Smilax borneensis A.DC.,Smilacaceae,Heckroth et al. (2004),"Borneo, Malaysia",Leaf sheath clasp the stem,High,
Smilax gigantean Merr.,Smilacaceae,Heckroth et al. (2004),Borneo,Leaf sheath clasp the stem,High,
Smilax ocreata A.DC.,Smilacaceae,Heckroth et al. (2004),"India: Assam, Thailand",Leaf sheath clasp the stem,High,
Smilax perfoliata Lour.,Smilacaceae,Heckroth et al. (2004),"India, Thailand",Leaf sheath clasp the stem,High,
Solanopteris bifrons (Hook.) Copel.,Polypodiaceae,Hagemann (1969),Costa Rica to Peru,Stem domatia - tuberous rhizome with hollow cavities,High,
Solanopteris bismarckii Rauh,Polypodiaceae,Rauh (1973),Costa Rica to Peru,Stem domatia - tuberous rhizome with hollow cavities,High,
Solanopteris brunei (H. Christ) Wagner,Polypodiaceae,Hagemann (1969); Wagner (1972),Costa rica to Columbia,Stem domatia - tuberous rhizome with hollow cavities,High,
Solanopteris tuberosum (Maxon) Rauh,Polypodiaceae,Hagemann (1969),Ecuador,Stem domatia - tuberous rhizome with hollow cavities,HIgh,
Spatholobus bracteolatus King,Fabaceae - Faboideae,Agosti et al. (1999); Moog et al (2003),"SE Asia, Malaysia",Stem domatia - strongly swollen stem with soft pith inhabited by Cladomyrma petalae,High,
Spatholobus oblongifolius Merr.,Fabaceae - Faboideae,Agosti et al. (1999),"SE Asia, Sarawak",Stem domatia - strongly swollen stem internodes,High,
Squamellaria grayi Chomicki & Wistuba,Rubiaceae - Psychotriae - Hydnophytinae,Chomicki and Renner (2016),Fiji,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Squamellaria guppyana (Becc.) Chomicki,Rubiaceae - Psychotriae - Hydnophytinae,Chomicki and Renner (2016),Solomon Islands and Bougainville Island (Papua New Guinea),"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Squamellaria huxleyana Chomicki,Rubiaceae - Psychotriae - Hydnophytinae,Chomicki and Renner (2016),Fiji,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Squamellaria imberbis (A.Gray) Becc.,Rubiaceae - Psychotriae - Hydnophytinae,Jebb (1991); Chomicki and Renner (2016),Fiji,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Squamellaria jebbiana Chomicki,Rubiaceae - Psychotriae - Hydnophytinae,Chomicki and Renner (2016),Fiji,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Squamellaria major A.C.Sm.,Rubiaceae - Psychotriae - Hydnophytinae,Jebb (1991); Chomicki and Renner (2016),Fiji,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Squamellaria tenuiflora (Becc.) Chomicki,Rubiaceae - Psychotriae - Hydnophytinae,Chomicki and Renner (2016),Fiji,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Squamellaria thekii Jebb,Rubiaceae - Psychotriae - Hydnophytinae,Jebb (1991); Chomicki and Renner (2016),Fiji,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Squamellaria vanuatuensis Jebb & C.R.Huxley in Chomicki & S.S. Renner,Rubiaceae - Psychotriae - Hydnophytinae,Chomicki and Renner (2016),Vanuatu,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Squamellaria wilkinsonii (Horne ex Baker) Chomicki,Rubiaceae - Psychotriae - Hydnophytinae,Chomicki and Renner (2016),Fiji,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Squamellaria wilsonii (Horne ex Baker) Becc. ,Rubiaceae - Psychotriae - Hydnophytinae,Chomicki and Renner (2016),Fiji,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Steganthera hospitans (Becc.) Kaneh. & Hatus. (= Amthobembix hospitans),Monimiaceae,Beccari (1877); Philipson (1984); Jolivet (1996),"SE Asia, PNG",Stem domatia - swollen hollow twigs -- swollen nodes,High,"Philipson (1984): ""The hollow stems and swollen nodes are inhabitedby scale insects (Adeyrodidae) and by many small black ants."""
Steganthera moszkowskii (Perkins) Kaneh. & Hatus.,Monimiaceae,Philipson (1984),Papua New Guinea - West Irian,Stem domatia - swollen hollow twigs -- swollen nodes,High,
Steganthera royenii Philipson,Monimiaceae,Philipson (1984),Papua New Guinea - West Irian,Stem domatia - swollen hollow twigs -- swollen nodes,High,
Stereospermum kunthianum Cham.,Bignonaceae,Davidson and McKey (1993),"Tropical Africa, Central forest block","Stem domatia - pithy stems, hollowed by ants - transitional state but high host specificity (Cladomyrma petalae)",Moderate,
Stereospermum tetragonum DC. (= S. personatum),Bignonaceae,Ward Blog (http://wardlab.wordpress.com/research/pseudomyrmecinae/ant-plants/),India,"Stem domatia - pithy stems, hollowed by ants - transitional state but high host specificity (Cladomyrma petalae)",Moderate,
Strychnos vanprukii Craib,Loganiaceae,Agosti et al. (1999); Moog et al (2003),"SE Asia, Malaysia","Stem domatia - pithy domatia, hollowed by ants - inhabitation by Cladomyrmex petalae consistent",Moderate,
Symmeria paniculata Benth.,Polygonaceae,Spruce (1908); Jolivet (1996),"Guiana, Northern Brazil, Sierra Lara",Stem domatia - hollow stem,Moderate,
Syzygium cormiflorum (F.Muell.) B.Hyland,Myrtaceae,Jolivet (1996); Montheith Pers. comm. to C.R. Huxley-Lambrick July 1984; Hyland (1983),Australia,"Stem domatia - pithy stems, hollowed by ants - transitional state but high host specificity (lridomyrmex gilberti)",Moderate,
Syzygium erythrocalyx (C.T.White) B.Hyland,Myrtaceae,Jolivet (1996); Montheith Pers. comm. to C.R. Huxley-Lambrick July 1984; Hyland (1983),Australia,"Stem domatia - pithy stems, hollowed by ants - transitional state but high host specificity (lridomyrmex gilberti)",Moderate,
Tachia guianensis Aubl. (= Myrmecia),Gentianaceae,Schumann (1888); Huth (1887); Bequaert (1922); Dejean et al. (2017),Neotropics,Stem domatia - hollow twigs,High,
Tachigali argyrophylla Ducke,Fabaceae-cesalpinioideae,Van der Werf (2008),Neotropics,swollen hollow rachis (and inflorescence stem),High,
Tachigali candelabrum van der Werff,Fabaceae-cesalpinioideae,Van der Werf (2008),Neotropics,swollen hollow rachis (and inflorescence stem),High,
Tachigali catingae Ducke,Fabaceae-cesalpinioideae,Van der Werf (2008),Neotropics,swollen hollow rachis (and inflorescence stem),High,
Tachigali cavipes (Benth.) J.F.Macbr.,Fabaceae-cesalpinioideae,Van der Werf (2008),Neotropics,swollen hollow rachis (and inflorescence stem),High,
Tachigali cenepensis van der Werff,Fabaceae-cesalpinioideae,Van der Werf (2008),Neotropics,swollen hollow rachis (and inflorescence stem),High,
Tachigali chrysophylla (Poepp.) Zarucchi & Herend.,Fabaceae-cesalpinioideae,Van der Werf (2008),Neotropics,swollen hollow rachis (and inflorescence stem),High,
Tachigali dwyeri (R.S. Cowan) Zarucchi & Herend.,Fabaceae-cesalpinioideae,Van der Werf (2008),Neotropics,swollen hollow rachis (and inflorescence stem),High,
Tachigali formicarum Harms,Fabaceae-cesalpinioideae,Van der Werf (2008),Neotropics,swollen hollow rachis (and inflorescence stem),High,
Tachigali fusca van der Werff,Fabaceae-cesalpinioideae,Van der Werf (2008),Neotropics,swollen hollow rachis (and inflorescence stem),High,
Tachigali glauca Tul.,Fabaceae-cesalpinioideae,Van der Werf (2008),Neotropics,swollen hollow rachis (and inflorescence stem),High,
Tachigali grandistipulata Harms,Fabaceae-cesalpinioideae,Van der Werf (2008),Neotropics,swollen hollow rachis (and inflorescence stem),High,
Tachigali longiflora Ducke,Fabaceae-cesalpinioideae,"Van der Werf (2008): He did not personally observed domatia but says: ""Ducke mentioned the presence of  small ants in the leaf rachis.""",Neotropics,swollen hollow rachis (and inflorescence stem),Moderate,
Tachigali loretensis van der Werff,Fabaceae-cesalpinioideae,Van der Werf (2008),Neotropics,swollen hollow rachis (and inflorescence stem),High,
Tachigali macbridei Zarucchi & Herend.,Fabaceae-cesalpinioideae,Van der Werf (2008),Neotropics,swollen hollow rachis (and inflorescence stem),High,
Tachigali myrmecophila (Ducke) Ducke,Fabaceae-cesalpinioideae,Bequaert (1922);Passmore et al. (2012),Neotropics,swollen hollow rachis (and inflorescence stem),High,
Tachigali odoratissima (Spruce ex Benth.) Zarucchi & Herend.,Fabaceae-cesalpinioideae,Van der Werf (2008),Neotropics,swollen hollow rachis (and inflorescence stem),High,
Tachigali paniculata Aubl.,Fabaceae-cesalpinioideae,Bailey (1923),Neotropics,swollen hollow rachis (and inflorescence stem),High,
Tachigali physophora (Huber) Zarucchi & Herend.,Fabaceae-cesalpinioideae,Van der Werf (2008),Neotropics,swollen hollow rachis (and inflorescence stem),High,
Tachigali plumbea Ducke,Fabaceae-cesalpinioideae,"Van der Werf (2008); Passmore et al. (2012); However the presence of domatium is possibly a variable traits as a specimen investigated in Chomicki et al. (2015, PRSB) lacked domatia - but this might also be mis-identification",Neotropics,swollen hollow rachis (and inflorescence stem),High,
Tachigali poeppigiana Tul.,Fabaceae-cesalpinioideae,Van der Werf (2008),Neotropics,swollen hollow rachis (and inflorescence stem),High,
Tachigali ptychophysca Benth.,Fabaceae-cesalpinioideae,Van der Werf (2008),Neotropics,swollen hollow rachis (and inflorescence stem),High,
Tachigali rigida Ducke,Fabaceae-cesalpinioideae,Van der Werf (2008),Neotropics,swollen hollow rachis (and inflorescence stem),High,
Tachigali schultesiana Dwyer,Fabaceae-cesalpinioideae,Van der Werf (2008),Neotropics,swollen hollow rachis (and inflorescence stem),High,
Tachigali vaupesiana van der Werff,Fabaceae-cesalpinioideae,Van der Werf (2008),Neotropics,swollen hollow rachis (and inflorescence stem),High,
Tachigali venusta Dwyer,Fabaceae-cesalpinioideae,Passmore et al. (2012),Neotropics,swollen hollow rachis (and inflorescence stem),High,
Teijsmanniodendron pteropodum (Miq.) Bakh.,Lamiaceae,Moog et al. (2003),SE Asia - Malaysia,Leaf base domatia - tunnel formed by long winged petioles curling to form a channel,High,
Tetrathylacium macrophyllum Poepp.,Salicaceae,Schmidt (2001); Jolivet (1996),Peru to Costa Rica,Stem domatia - swollen twigs,High,
Tillandsia balbisiana Schult. & Schult.f.,Bromeliaceae,Jolivet (1996); Dejean et al. (1995),Neotropics: Mexico,Leaf base domatia - cavity formed into the spaces of interlocked leaf bases,High,
Tillandsia bulbosa Hook.,Bromeliaceae,Baker (1889); Adams (1972); Benzing pers. comm. to C.R. Huxley-Lambrick (1978),Neotropics,Leaf base domatia - cavity formed into the spaces of interlocked leaf bases,High,
Tillandsia butzii Mez,Bromeliaceae,Benzing (1970),Neotropics: Mexico,Leaf base domatia - cavity formed into the spaces of interlocked leaf bases,High,
Tillandsia caput-medusae E.Morren,Bromeliaceae,Benzing (1970),Neotropics: Mexico,Leaf base domatia - cavity formed into the spaces of interlocked leaf bases,High,
Tillandsia flexuosa Sw.,Bromeliaceae,Baker (1889); Adams (1972); Benzing in letter July 1978 to C.R. Huxley-Lambrick,Neotropics,Leaf base domatia - cavity formed into the spaces of interlocked leaf bases,High,
Tillandsia paraensis Mez,Bromeliaceae,C.R. Huxley-Lambrick pers. comm.,Neotropics,Leaf base domatia - cavity formed into the spaces of interlocked leaf bases,High,
Tillandsia paucifolia Baker,Bromeliaceae,Jolivet (1996),Neotropics,Leaf base domatia - cavity formed into the spaces of interlocked leaf bases,High,
Tillandsia pseudobaileyi C.S.Gardner,Bromeliaceae,Jolivet (1996),Neotropics,Leaf base domatia - cavity formed into the spaces of interlocked leaf bases,High,
Tillandsia streptophylla Scheidw. ex E.Morren,Bromeliaceae,Schimper (1888); Benzing (1978) pers. comm. to C.R. Huxley-Lambrick,Central America,Leaf base domatia - cavity formed into the spaces of interlocked leaf bases,High,
Tococa aristata Benth.,Melastomataceae,Michelangeli (2005),Neotropics,Leaf domatia - pouch domatia on the petiole or/and basal part of the leaf,High,
Tococa bullifera Mart. & Schrank ex DC.,Melastomataceae,Michelangeli (2005),Neotropics,Leaf domatia - pouch domatia on the petiole or/and basal part of the leaf,High,
Tococa capitata Trail ex Cogn.,Melastomataceae,Michelangeli (2005),Neotropics,Leaf domatia - pouch domatia on the petiole or/and basal part of the leaf,High,
Tococa caquetana Sprague,Melastomataceae,Michelangeli (2005),Neotropics,Leaf domatia - pouch domatia on the petiole or/and basal part of the leaf,High,
Tococa carolensis Gleason,Melastomataceae,Michelangeli (2005),Neotropics,Leaf domatia - pouch domatia on the petiole or/and basal part of the leaf,High,
Tococa caudate Markgr.,Melastomataceae,Michelangeli (2005),Neotropics,Leaf domatia - pouch domatia on the petiole or/and basal part of the leaf,High,
Tococa ciliate Triana,Melastomataceae,Michelangeli (2005),Neotropics,Leaf domatia - pouch domatia on the petiole or/and basal part of the leaf,High,
Tococa cordata O. Berg ex Triana,Melastomataceae,Michelangeli (2005),Neotropics,Leaf domatia - pouch domatia on the petiole or/and basal part of the leaf,High,
Tococa coronata Benth.,Melastomataceae,Michelangeli (2000),Neotropics,Leaf domatia - pouch domatia on the petiole or/and basal part of the leaf,High,
Tococa costoides Michelangeli,Melastomataceae,Michelangeli (2006),Brazil (Amazonas state),Leaf domatia - pouch domatia on the petiole or/and basal part of the leaf,High,
Tococa filiformis (Gleason) K. Wurdack,Melastomataceae,Michelangeli (2005),Neotropics,Leaf domatia - pouch domatia on the petiole or/and basal part of the leaf,High,
Tococa gonoptera Gleason,Melastomataceae,Michelangeli (2005),Neotropics,Leaf domatia - pouch domatia on the petiole or/and basal part of the leaf,High,
Tococa guianensis Aubl.,Melastomataceae,Schumann (1888); Spruce (1908); Bequaert (1922); Renner and Rickleys (1998),Neotropics; Peru - Ecuador,Leaf domatia - pouch domatia on the petiole or/and basal part of the leaf,High,
Tococa hirta O. Berg ex Triana,Melastomataceae,Michelangeli (2005),Neotropics,Leaf domatia - pouch domatia on the petiole or/and basal part of the leaf,High,
Tococa lancifolia Spruce ex Triana,Melastomataceae,Michelangeli (2005),Neotropics,Leaf domatia - pouch domatia on the petiole or/and basal part of the leaf,High,
Tococa leticiana Michelangeli,Melastomataceae,Michelangeli (2006),Colombia (Leticia only),Leaf domatia - pouch domatia on the petiole or/and basal part of the leaf,High,
Tococa macrophysca Spruce ex Triana,Melastomataceae,Michelangeli (2005),Neotropics,Leaf domatia - pouch domatia on the petiole or/and basal part of the leaf,High,
Tococa macroptera Naudin,Melastomataceae,Michelangeli (2005),Neotropics,Leaf domatia - pouch domatia on the petiole or/and basal part of the leaf,High,
Tococa macrosperma Mart.,Melastomataceae,Michelangeli (2005),Neotropics,Leaf domatia - pouch domatia on the petiole or/and basal part of the leaf,High,
Tococa obovata Gleason subsp. nebliensis,Melastomataceae,Michelangeli (2005),Neotropics,Leaf domatia - pouch domatia on the petiole or/and basal part of the leaf,High,
Tococa pachystachya Wurdack,Melastomataceae,Michelangeli (2005),Neotropics,Leaf domatia - pouch domatia on the petiole or/and basal part of the leaf,High,
Tococa parviflora Spruce ex Triana,Melastomataceae,Michelangeli (2005),Neotropics,Leaf domatia - pouch domatia on the petiole or/and basal part of the leaf,High,
Tococa pauciflora Spruce ex Triana,Melastomataceae,Michelangeli (2005),Neotropics,Leaf domatia - pouch domatia on the petiole or/and basal part of the leaf,High,
Tococa quadrialata (Naudin) J.F. Macbr.,Melastomataceae,Michelangeli (2005),Neotropics,Leaf domatia - pouch domatia on the petiole or/and basal part of the leaf,High,
Tococa racemifera Wurdack,Melastomataceae,Michelangeli (2005),Neotropics,Leaf domatia - pouch domatia on the petiole or/and basal part of the leaf,High,
Tococa rotundifolia (Triana) Wurdack,Melastomataceae,Michelangeli (2005),Neotropics,Leaf domatia - pouch domatia on the petiole or/and basal part of the leaf,High,
Tococa spadiciflora Triana,Melastomataceae,Michelangeli (2005),Neotropics,Leaf domatia - pouch domatia on the petiole or/and basal part of the leaf,High,
Tococa stellata Gleason,Melastomataceae,Michelangeli (2010),Neotropics,Leaf domatia - pouch domatia on the petiole or/and basal part of the leaf,High,
Tococa stenoptera Gleason,Melastomataceae,Michelangeli (2005),Neotropics,Leaf domatia - pouch domatia on the petiole or/and basal part of the leaf,High,
Tococa stephanotricha Naudin,Melastomataceae,Michelangeli (2005),Neotropics,Leaf domatia - pouch domatia on the petiole or/and basal part of the leaf,High,
Tococa symphyandra (Triana) Cogn.,Melastomataceae,Michelangeli (2005),Neotropics,Leaf domatia - pouch domatia on the petiole or/and basal part of the leaf,High,
Tococa undabunda J.F. Macbr.,Melastomataceae,Michelangeli (2010),Neotropics,Leaf domatia - pouch domatia on the petiole or/and basal part of the leaf,High,
Topobea gracilis Triana,Melastomataceae,Michelangeli (2010),Neotropics: Colombia,Stem domatia - swollen hollow twigs,High,
Topobea inflata Triana,Melastomataceae,Michelangeli (2010),Neotropics: Colombia,Stem domatia - swollen hollow twigs,High,
Topobea pluvialis Standl.,Melastomataceae,Michelangeli (2010),Neotropics: Panama,Stem domatia - swollen hollow twigs,High,
Tricalysia pangolina N.Hallé,Rubiaceae,Hallé (1970); Robbrecht (1979),Tropical Africa,Stem domatia - swollen hollow twigs,High,
Triplaris americana L.,Polygonaceae,Oliveira et al. (1987); Weddell (1849); Ward (1999); Sanchez (2011),"Venezuela, Peru, Colombia, Brazil",Stem domatia - swollen hollow twigs,High,
Triplaris caracasana Cham.,Polygonaceae,Sanchez (2011),Neotropics,Stem domatia - swollen hollow twigs,High,
Triplaris cumingiana Fisch. & C.A.Mey.,Polygonaceae,Oliveira et al. (1987); Sanchez (2011),Neotropics,Stem domatia - swollen hollow twigs,High,
Triplaris dugandii Brandbyge,Polygonaceae,Sanchez (2011),"Peru, Brazil, Ecuador",Stem domatia - swollen hollow twigs,High,
Triplaris felipensis Wedd.,Polygonaceae,Oliveira et al. (1987); Ward (1999),Venezuela,Stem domatia - swollen hollow twigs,High,
Triplaris fulva Huber,Polygonaceae,Sanchez (2011),Neotropics,Stem domatia - swollen hollow twigs,High,
Triplaris gardneriana Wedd.,Polygonaceae,Sanchez (2011),Neotropics,Stem domatia - swollen hollow twigs,High,
Triplaris longifolia Huber,Polygonaceae,Oliveira et al. (1987); Sanchez (2011),Peru,Stem domatia - swollen hollow twigs,High,
Triplaris melaenodendron (Bertol.) Standl. & Steyerm.,Polygonaceae,Sanchez (2011),"Colombia, Costa Rica",Stem domatia - swollen hollow twigs,High,
Triplaris moyobambensis Brandbyge,Polygonaceae,Sanchez (2011),Neotropics,Stem domatia - swollen hollow twigs,High,
Triplaris peruviana Fisch. & Meyer ex C.A. Meyer,Polygonaceae,Sanchez (2011),Peru,Stem domatia - swollen hollow twigs,High,
Triplaris poeppigiana Wedd.,Polygonaceae,Sanchez (2011),"Peru, Brazil",Stem domatia - swollen hollow twigs,High,
Triplaris punctata Standl.,Polygonaceae,Sanchez (2011),Peru,Stem domatia - swollen hollow twigs,High,
Triplaris purdiei Meisn.,Polygonaceae,Sanchez (2011),Colombia,Stem domatia - swollen hollow twigs,High,
Triplaris setosa Rusby,Polygonaceae,Sanchez (2011),Peru,Stem domatia - swollen hollow twigs,High,
Triplaris vestita Rusby,Polygonaceae,Sanchez (2011),Neotropics,Stem domatia - swollen hollow twigs,High,
Triplaris weigeltiana (Rchb.) Kuntze,Polygonaceae,Ward (1999),"Venezuela, Guyana",Stem domatia - swollen hollow twigs,High,
Uapaca staudtii Pax,Phyllanthaceae,Bretler and Nzabi (1995),"Cameroun, Gabon, Nigeria",Stipular domatia - ear-like stipules more or less pouch-like,Moderate,
Uncaria africana G. Don,Rubiaceae,de Wildeman (1919); Bequaert (1922); Uphof (1942); Jolivet (1996),Tropical Africa,Stem domatia,Moderate,
Uncaria sp. 1,Rubiaceae,"Moog et al. (2003), no proof that it is really a myrmecophyte, but ant-occupied liana",SE Asia - Malaysia,Stem domatia,Moderate,
Uncaria sp. 2,Rubiaceae,"Moog et al. (2003), no proof that it is really a myrmecophyte, but ant-occupied liana",SE Asia - Malaysia,Stem domatia,Moderate,
Vitex agelaeifolia Mildbr. ex Piep.,Lamiaceae,Schnell (1966); Jolivet (1996),Tropical Africa,Stem domatia,Moderate,
Vitex grandiflora Turcz.,Lamiaceae,Schnell (1966); Jolivet (1996),Tropical Africa,Stem domatia,Moderate,
Vitex thyrsiflora Baker,Lamiaceae,Schnell (1966); Djiero-Lordon et al. (2005),Cameroun,Stem domatia - primary stem,High,
Vitex yaundensis Gürke,Lamiaceae,Engler (1903),Cameroon (endemic),Stem domatia,Moderate,
Vochysia vismiifolia Spruce ex Warm.,Vochysiaceae,Blüthgen and Wesenberg (2001),Amazone,Stem domatia - swollen hollow twigs --- Domatia induced by ants,High,
Wightia borneensis Hook.f.,Scrophulariaceae,Jolivet (1996); Moog et al. (2003),SE Asia - Malaysia,Stem domatia - upper swollen and hollow internodes; unknown if excavated by ants or ,Moderate,"Wightia borneensis Hook. f.: In Peninsular Malaysia the plant species has been found in hill forests of Perak, Pahang and Melaka. Jolivet (1996) reported that the upper swollen internodes are hollow and colonized by undetermined ants. Thecigar-shaped cavities are possibly excavated by the ants. The status of these plantstructures as true domatia is not established (Hoelldobler & Wilson 1990). Herbariumspecimens not seen."
Zanthoxylum conspersipunctatum Merr. & L.M.Perry,Rutaceae,Hartley (1966); Moog et al. (2002),New Guinea,Stem domatia - hollow twigs - reported but not field verified,Moderate,"Quote from Hartley (1966): ""branchlets with straight or ascending prickles, often swollen and hollow and apparently housing ants."""
Zanthoxylum limonella (Dennst.) Alston,Rutaceae,Moog et al. (2002; 2003),SE Asia,Stem domatia - hollow twigs,Moderate,"Quote from Hartley (1966): ""branchlets usually sparsely armed with straight or ascending prickles, often swollen and hollow and apparently housing ants"""
Zanthoxylum myriacanthum Wall. ex Hook. f.,Rutaceae,Hartley (1966); Moog et al. (2002; 2003),SE Asia,"Stem domatia - swollen hollow twigs, self-opening",High,
Zanthoxylum pluviatile T.G.Hartley,Rutaceae,Hartley (1966); Moog et al. (2002),New Guinea,Stem domatia - hollow twigs - reported but not field verified,Moderate,"Quote from protologue (Hartley, 1966): ""aculéis saepe inflatis et cavis et, ut videtur, a formicis inhabitatis"""
Zanthoxylum vinkii T.G.Hartley,Rutaceae,Hartley (1966); Moog et al. (2002),New Guinea,Stem domatia - hollow twigs - reported but not field verified,Moderate,"Quote from protologue (Hartley, 1966): ""ramulis parce aculeatis, aculéis rectis, inflatis et cavis et, ut videtur, a formicis inhabitatis"""
