Species,fixerCH,fixer,num_introduced,total_area_introduced,total_area_native,lat_native,abs_lat_native,annual,uses_num_uses,mah_state,soud_state,ConsensusTOTAL
Enterolobium_contortisiliquum,TRUE,2,2,9.72E+11,1.29E+13,-23.01261806,23.01261806,0,0,AM,AM,AM
Enterolobium_cyclocarpum,TRUE,2,14,4.29E+12,1.37E+13,9.4649793,9.4649793,0,2,AM,AM,AM
Enterolobium_schomburgkii,TRUE,2,0,0,9.77E+12,-2.68082452,2.68082452,0,0,NA,AM,AM
Eperua_bijuga,FALSE,1,0,0,1.46E+12,0.22176104,0.22176104,0,0,NA,AM,AM
Eperua_falcata,FALSE,1,2,4.70E+11,1.49E+12,3.84398924,3.84398924,0,1,AM,AM,AM
Eperua_grandiflora,FALSE,1,0,0,5.79E+11,2.9281457,2.9281457,0,1,NA,AM,AM
Erythrina_fusca,TRUE,2,7,4.53E+12,2.56E+13,2.88239997,2.88239997,0,2,NA,AM,AM
Eutaxia_microphylla,TRUE,2,0,0,6.34E+12,-34.37260051,34.37260051,0,0,NA,EcM,EM
Faidherbia_albida,TRUE,2,5,9.97E+11,3.05E+13,14.74294836,14.74294836,0,8,AM,AM,AM
Flemingia_macrophylla,TRUE,2,12,7.60E+12,1.43E+13,16.21859796,16.21859796,0,2,NA,AM,AM
Galega_orientalis,TRUE,2,5,8.74E+12,4.92E+12,48.41342464,48.41342464,0,2,AMNM,non-mycorrhizal (checked for all types),NM
Gastrolobium_bilobum,TRUE,2,0,0,2.53E+12,-25.46607155,25.46607155,0,0,NA,AM,AM
Genista_tinctoria,TRUE,2,9,3.52E+13,1.99E+13,48.21388291,48.21388291,0,5,AM,AM,AM
Gleditsia_triacanthos,FALSE,1,25,2.91E+13,1.52E+13,41.07489977,41.07489977,0,7,AMNM,AM,AM
Gliricidia_sepium,TRUE,2,46,1.92E+13,2.33E+12,10.25334026,10.25334026,0,7,AM,AM,AM
Glycine_clandestina,TRUE,2,0,0,1.57E+13,-2.10967042,2.10967042,0,2,NA,AM,AM
Glycine_max,TRUE,2,50,8.87E+13,1.06E+13,15.45352811,15.45352811,1,7,AM,AM,AM
Glycyrrhiza_glabra,TRUE,2,9,1.54E+13,2.46E+13,39.48689989,39.48689989,0,9,AM,AM,AM
Glycyrrhiza_lepidota,TRUE,2,0,0,1.94E+13,45.75607157,45.75607157,0,0,NA,AM,AM
Glycyrrhiza_uralensis,TRUE,2,0,0,2.37E+13,45.63301501,45.63301501,0,3,NA,AM,AM
Gossweilerodendron_balsamiferum,FALSE,1,0,0,5.20E+12,0.33400637,0.33400637,0,2,AM,AM,AM
Guibourtia_coleosperma,FALSE,1,0,0,6.09E+12,-11.73953808,11.73953808,0,4,NA,AM,AM
Gymnocladus_dioica,FALSE,1,9,1.33E+13,1.63E+13,54.12793836,54.12793836,0,4,NA,AM,AM
Halimodendron_halodendron,TRUE,2,10,7.17E+12,1.86E+13,44.12523883,44.12523883,0,4,AMNM,AM,AM
Hardenbergia_comptoniana,TRUE,2,2,1.32E+11,7.69E+12,-25.73253015,25.73253015,0,1,NA,AM,AM
Hardenbergia_violacea,TRUE,2,1,2055545262,3.81E+12,-34.81740116,34.81740116,0,1,NA,EcM,EM
Havardia_albicans,TRUE,2,0,0,2.33E+12,20.43021132,20.43021132,0,1,AM,AM,AM
Hedysarum_alpinum,TRUE,2,0,0,4.92E+13,46.02940052,46.02940052,0,4,NA,AM,AM
Hedysarum_boreale,TRUE,2,0,0,1.62E+13,54.53496801,54.53496801,0,0,NA,AM,AM
Hedysarum_caucasicum,TRUE,2,0,0,4.75E+12,48.62324659,48.62324659,0,2,AM,AM,AM
Hedysarum_coronarium,TRUE,2,15,6.85E+12,3.37E+12,35.18906387,35.18906387,0,2,AM,AM,AM
Hedysarum_hedysaroides,TRUE,2,0,0,3.42E+12,42.96058068,42.96058068,0,0,NA,AM,AM
Hippocrepis_comosa,TRUE,2,1,7.94E+12,3.54E+12,45.59844177,45.59844177,0,0,AM,AM,AM
Hippocrepis_unisiliquosa,TRUE,2,0,0,4.44E+12,34.8661874,34.8661874,1,0,AM,AM,AM
Hovea_trisperma,TRUE,2,0,0,2.53E+12,-25.46607155,25.46607155,0,0,NA,AM,AM
Hymenaea_courbaril,FALSE,1,11,4.44E+12,4.84E+12,9.2242963,9.2242963,0,3,AMNM,AM,AM
Hymenostegia_afzelii,FALSE,1,0,0,2.40E+12,8.44381177,8.44381177,0,3,NA,AM,AM
Indigofera_argentea,TRUE,2,0,0,2.09E+13,20.8560083,20.8560083,0,1,NA,AM,AM
Indigofera_australis,TRUE,2,2,2.67E+12,7.76E+12,-33.83765746,33.83765746,0,1,NA,EcM,EM
Indigofera_cordifolia,TRUE,2,0,0,2.54E+13,9.06013282,9.06013282,1,3,AM,AM,AM
Indigofera_hirsuta,TRUE,2,8,2.15E+12,3.94E+13,6.00354518,6.00354518,0,5,NA,AM,AM
Indigofera_kirilowii,TRUE,2,2,8.17E+12,1.37E+12,38.56462883,38.56462883,0,2,AM,AM,AM
Indigofera_linifolia,TRUE,2,1,2645044536,2.43E+13,11.63265646,11.63265646,0,5,AM,AM,AM
Indigofera_pseudotinctoria,TRUE,2,0,0,2.71E+12,32.75775076,32.75775076,0,3,NA,AM,AM
Indigofera_tinctoria,TRUE,2,16,3.14E+12,3.69E+13,8.91410948,8.91410948,0,6,AM,AM,AM
Inga_edulis,TRUE,2,7,6.60E+12,1.04E+13,-7.70557519,7.70557519,0,3,NA,AM,AM
Inga_laurina,TRUE,2,3,2.12E+12,1.78E+13,4.48952238,4.48952238,0,1,NA,AM,AM
Inga_leiocalycina,TRUE,2,0,0,3.38E+12,9.20895421,9.20895421,0,0,AM,AM,AM
Inga_nobilis,TRUE,2,0,0,1.36E+13,-3.84934881,3.84934881,0,0,AM,AM,AM
Inga_pezizifera,TRUE,2,0,0,74530640236,8.50542914,8.50542914,0,0,AM,AM,AM
Inga_thibaudiana,TRUE,2,0,0,9.49E+12,5.21909774,5.21909774,0,0,AM,AM,AM
Inga_vera,TRUE,2,1,2.12E+12,5.41E+12,14.41102883,14.41102883,0,0,NA,AM,AM
Isoberlinia_angolensis,FALSE,1,0,0,8.37E+12,2.5611088,2.5611088,0,0,NA,EcM,EM
Kennedia_coccinea,TRUE,2,0,0,2.53E+12,-25.46607155,25.46607155,0,0,NA,non-mycorrhizal (checked for all types),NM
Kennedia_prostrata,TRUE,2,0,0,7.69E+12,-25.73253015,25.73253015,0,0,NA,AM,AM
Kennedia_rubicunda,TRUE,2,2,4.34E+11,2.83E+12,-34.37258831,34.37258831,0,2,NA,AM,AM
Kummerowia_striata,TRUE,2,2,2.53E+12,1.08E+13,33.9937023,33.9937023,0,6,AM,AM,AM
Lablab_purpureus,TRUE,2,56,3.35E+13,2.96E+13,0.09818241,0.09818241,0,7,AM,AM,AM
Laburnum_anagyroides,TRUE,2,27,2.41E+13,2.05E+12,34.85868258,34.85868258,0,2,AM,AM,AM
Lathyrus_aphaca,TRUE,2,8,1.12E+13,2.75E+13,39.11839808,39.11839808,1,5,AM,NA,AM
Lathyrus_japonicus,TRUE,2,0,0,2.98E+13,50.22068001,50.22068001,0,4,AM,AM,AM
Lathyrus_linifolius,TRUE,2,1,1.15E+11,6.98E+12,46.72624927,46.72624927,0,2,AM,NA,AM
Lathyrus_niger,TRUE,2,2,3.46E+11,1.52E+13,44.88183931,44.88183931,0,4,AMNM,AM,AM
Lathyrus_odoratus,TRUE,2,41,6.38E+13,4.13E+11,27.90132043,27.90132043,1,3,AM,AM,AM
Lathyrus_palustris,TRUE,2,0,0,3.77E+13,43.83747701,43.83747701,0,1,NA,AM,AM
Lathyrus_pratensis,TRUE,2,8,1.69E+13,4.00E+13,42.09266119,42.09266119,0,3,AMNM,AM,AM
