Species,introduced,native,num_introduced,total_area_introduced,total_area_native,lat_native,tribe,genus,subfamily,tribe_ncbi,fixer,abs_lat_native,woody,annual,uses_num_uses
Otholobium_sericeum,0,1,0,0,2.67E+12,-25.48651667,Psoraleeae,Otholobium,Papilionoideae,Psoraleeae,1,25.48651667,1,0,0
Otholobium_striatum,0,1,0,0,2.67E+12,-25.48651667,Psoraleeae,Otholobium,Papilionoideae,Psoraleeae,1,25.48651667,1,0,0
Otholobium_wilmsii,0,1,0,0,2.69E+12,-26.02431623,Psoraleeae,Otholobium,Papilionoideae,Psoraleeae,1,26.02431623,1,0,0
Otoptera_burchellii,0,1,0,0,4.44E+12,-23.50241383,Phaseoleae,Otoptera,Papilionoideae,Phaseoleae,1,23.50241383,1,0,0
Ottleya_strigosa,0,1,0,0,3.01E+12,26.70297927,Loteae,Ottleya,Papilionoideae,Loteae,1,26.70297927,0,1,0
Ottleya_wrightii,0,1,0,0,1.17E+12,27.84907127,Loteae,Ottleya,Papilionoideae,Loteae,0,27.84907127,0,0,0
Oxylobium_ellipticum,0,1,0,0,1.10E+12,-37.5996607,Mirbelieae,Oxylobium,Papilionoideae,Mirbelieae,1,37.5996607,1,0,0
Oxylobium_robustum,0,1,0,0,2.53E+12,-25.79163463,Mirbelieae,Oxylobium,Papilionoideae,Mirbelieae,1,25.79163463,1,0,1
Oxylobium_scandens,0,1,0,0,2.53E+12,-25.79163463,Mirbelieae,Oxylobium,Papilionoideae,Mirbelieae,1,25.79163463,1,0,0
Oxyrhynchus_volubilis,0,1,0,0,9.88E+11,23.04533937,Phaseoleae,Oxyrhynchus,Papilionoideae,Phaseoleae,1,23.04533937,0,0,1
Oxytropis_anertii,0,1,0,0,3.39E+11,42.6646277,Galegeae,Oxytropis,Papilionoideae,Galegeae,1,42.6646277,0,0,0
Oxytropis_arctica,0,1,0,0,4.61E+12,57.65008403,Galegeae,Oxytropis,Papilionoideae,Galegeae,1,57.65008403,0,0,0
Oxytropis_campanulata,0,1,0,0,1.16E+13,56.99732133,Galegeae,Oxytropis,Papilionoideae,Galegeae,1,56.99732133,0,0,1
Oxytropis_campestris,0,1,0,0,2.98E+13,53.64333813,Galegeae,Oxytropis,Papilionoideae,Galegeae,1,53.64333813,0,0,2
Oxytropis_carpatica,0,1,0,0,5.49E+11,48.98416152,Galegeae,Oxytropis,Papilionoideae,Galegeae,1,48.98416152,0,0,0
Oxytropis_deflexa,0,1,0,0,3.44E+13,52.88996636,Galegeae,Oxytropis,Papilionoideae,Galegeae,1,52.88996636,0,0,2
Oxytropis_glabra,0,1,0,0,2.38E+13,45.2810286,Galegeae,Oxytropis,Papilionoideae,Galegeae,1,45.2810286,0,0,3
Oxytropis_halleri,0,1,0,0,2.47E+12,46.91574949,Galegeae,Oxytropis,Papilionoideae,Galegeae,1,46.91574949,0,0,0
Oxytropis_kansuensis,0,1,0,0,3.31E+12,30.44105545,Galegeae,Oxytropis,Papilionoideae,Galegeae,1,30.44105545,0,0,0
Oxytropis_kubanensis,0,1,0,0,4.70E+12,51.42250989,Galegeae,Oxytropis,Papilionoideae,Galegeae,1,51.42250989,0,0,0
Oxytropis_lambertii,0,1,0,0,1.76E+13,45.5861914,Galegeae,Oxytropis,Papilionoideae,Galegeae,1,45.5861914,0,0,0
Oxytropis_lapponica,0,1,0,0,1.74E+13,41.32767765,Galegeae,Oxytropis,Papilionoideae,Galegeae,1,41.32767765,0,0,2
Oxytropis_leucantha,0,1,0,0,7.51E+12,57.20484909,Galegeae,Oxytropis,Papilionoideae,Galegeae,1,57.20484909,0,0,0
Oxytropis_maydelliana,0,1,0,0,5.96E+12,55.98878309,Galegeae,Oxytropis,Papilionoideae,Galegeae,1,55.98878309,0,0,0
Oxytropis_melanocalyx,0,1,0,0,3.27E+12,35.05804188,Galegeae,Oxytropis,Papilionoideae,Galegeae,1,35.05804188,0,0,0
Oxytropis_mollis,0,1,0,0,2.61E+12,29.31848205,Galegeae,Oxytropis,Papilionoideae,Galegeae,1,29.31848205,0,0,3
Oxytropis_neglecta,0,1,0,0,1.90E+12,44.16079416,Galegeae,Oxytropis,Papilionoideae,Galegeae,1,44.16079416,0,0,0
Oxytropis_oreophila,0,1,0,0,1.21E+12,37.45547727,Galegeae,Oxytropis,Papilionoideae,Galegeae,1,37.45547727,0,0,0
Oxytropis_pilosa,0,1,0,0,2.36E+13,49.86941703,Galegeae,Oxytropis,Papilionoideae,Galegeae,1,49.86941703,0,0,4
Oxytropis_riparia,1,1,1,1.03E+12,4.63E+12,44.47949911,Galegeae,Oxytropis,Papilionoideae,Galegeae,1,44.47949911,0,0,1
Oxytropis_scammaniana,0,0,0,0,0,NA,Galegeae,Oxytropis,Papilionoideae,Galegeae,1,NA,0,0,0
Oxytropis_sericea,0,1,0,0,3.42E+12,39.27623486,Galegeae,Oxytropis,Papilionoideae,Galegeae,1,39.27623486,0,0,0
Oxytropis_spicata,0,1,0,0,1.19E+13,56.75602889,Galegeae,Oxytropis,Papilionoideae,Galegeae,1,56.75602889,0,0,0
Oxytropis_splendens,0,1,0,0,1.63E+12,42.94065744,Galegeae,Oxytropis,Papilionoideae,Galegeae,1,42.94065744,0,0,0
Oxytropis_thomsonii,0,1,0,0,1.13E+12,31.712301,Galegeae,Oxytropis,Papilionoideae,Galegeae,1,31.712301,0,0,0
Oxytropis_viscida,0,1,0,0,2.07E+12,41.49776991,Galegeae,Oxytropis,Papilionoideae,Galegeae,1,41.49776991,0,0,0
