"","Phy","Exotic_status","total.area"
"231","Solenopsis_saevissima itinerans","Exotic",1969100.649
"232","Solenopsis_terricola","Exotic",147120.3924
"233","Solenopsis_validiuscula","Exotic",147120.3924
"234","Stigmatomma_besucheti","Exotic",5062.681312
"235","Stigmatomma_emeryi","Exotic",493663.7919
"236","Stigmatomma_zwaluwenburgi","Exotic",36074.0518298
"237","Strumigenys_eggersi","Exotic",587078.482587
"238","Strumigenys_emmae","Exotic",10712345.3242542
"239","Strumigenys_epinotalis","Exotic",524740.8608
"240","Strumigenys_godeffroyi","Exotic",4242311.83632923
"241","Strumigenys_gundlachi","Exotic",159959.55103
"242","Strumigenys_hexamera","Exotic",525853.19738916
"243","Strumigenys_lanuginosa","Exotic",402802.69971
"244","Strumigenys_lewisi","Exotic",87266.7175401
"245","Strumigenys_louisianae","Exotic",7826.24229106
"246","Strumigenys_ludovici","Exotic",599708.886791
"247","Strumigenys_margaritae","Exotic",1466229.6617
"248","Strumigenys_maxillaris","Exotic",599708.886791
"249","Strumigenys_membranifera","Exotic",23407531.2641182
"250","Strumigenys_nepalensis","Exotic",219952.619765
"251","Strumigenys_nigrescens","Exotic",25.00536106
"252","Strumigenys_perplexa","Exotic",268730.12437822
"253","Strumigenys_rogeri","Exotic",4698457.3727137
"254","Strumigenys_silvestrii","Exotic",2521097.9207613
"255","Strumigenys_simoni","Exotic",597663.696591
"256","Strumigenys_xenos","Exotic",268489.89386733
"257","Syllophopsis_australica","Exotic",66298.46513
"258","Syllophopsis_cryptobia","Exotic",2379871.563484
"259","Syllophopsis_sechellensis","Exotic",4711433.65325225
"260","Syllophopsis_subcoeca","Exotic",2074490.253356
"261","Tapinoma_darioi","Exotic",575073.31717
"262","Tapinoma_madeirense","Exotic",25774.66162
"263","Tapinoma_magnum","Exotic",1188810.45787
"264","Tapinoma_melanocephalum","Exotic",34287502.2878153
"265","Tapinoma_nigerrimum","Exotic",1186376.818793
"266","Tapinoma_sessile","Exotic",343596.635307
"267","Tapinoma_simrothi","Exotic",8304792.6750154
"268","Technomyrmex_albipes","Exotic",19037901.1308774
"269","Technomyrmex_brunneus","Exotic",1802481.64835955
"270","Technomyrmex_difficilis","Exotic",8547867.4264477
"271","Technomyrmex_jocosus","Exotic",268531.46513402
"272","Technomyrmex_kraepelini","Exotic",2228.0501131
"273","Technomyrmex_pallipes","Exotic",625148.9398533
"274","Technomyrmex_vexatus","Exotic",913991.2024
"275","Technomyrmex_vitiensis","Exotic",3979675.78908351
"276","Temnothorax_longispinosus","Exotic",493663.7919
"277","Temnothorax_unifasciatus","Exotic",244186.791
"278","Tetramorium_atratulum","Exotic",3672628.9967674
"279","Tetramorium_bicarinatum","Exotic",38728620.3136405
"280","Tetramorium_caldarium","Exotic",14121662.5893952
"281","Tetramorium_delagoense","Exotic",626731.058551
"282","Tetramorium_grassii","Exotic",268475.548
"283","Tetramorium_immigrans","Exotic",11485480.4230114
"284","Tetramorium_impurum","Exotic",2616.793023
"285","Tetramorium_insolens","Exotic",5884637.2896974
"286","Tetramorium_kraepelini","Exotic",43280.544833
"287","Tetramorium_lanuginosum","Exotic",27336613.1078509
"288","Tetramorium_lucayanum","Exotic",1172907.918363
"289","Tetramorium_pacificum","Exotic",7833761.44973974
"290","Tetramorium_pauper","Exotic",3829.644984
"291","Tetramorium_semilaeve","Exotic",21602.39521
"292","Tetramorium_sericeiventre","Exotic",6088395.754621
"293","Tetramorium_simillimum","Exotic",30386044.1866905
"294","Tetramorium_smithi","Exotic",4416.3649479
"295","Tetramorium_tonganum","Exotic",1305385.15956491
"296","Tetramorium_tsushimae","Exotic",576757.8224
"297","Tetraponera_allaborans","Exotic",32452.34426
"298","Tetraponera_rufonigra","Exotic",486.231921
"299","Trichomyrmex_destructor","Exotic",45524864.2470539
"300","Trichomyrmex_mayri","Exotic",21255326.674344
"301","Trichomyrmex_robustior","Exotic",593096.420665289
"302","Trichomyrmex_wroughtoni","Exotic",115.9498698
"303","Vollenhovia_emeryi","Exotic",248790.6706074
"304","Vollenhovia_nipponica","Exotic",25819.34229
"305","Vollenhovia_oblonga alluaudi","Exotic",486.231921
"306","Vollenhovia_piroskae","Exotic",486.231921
"307","Wasmannia_auropunctata","Exotic",6064595.81477497
