valid_species_name,Phy_all_underscore,total.area.native,LogArea.native,Phy
Camponotus.banghaasi,Camponotus_banghaasi,1291650.943,6.111145165,Camponotus_banghaasi
Camponotus.barbaricus,Camponotus_barbaricus,5102693.291,6.707799465,Camponotus_barbaricus
Camponotus.barbarossa,Camponotus_barbarossa,1247631.21,6.09608623,Camponotus_barbarossa
Camponotus.barbatus,Camponotus_barbatus,1375063.648,6.138322801,Camponotus_barbatus
Camponotus.barbosus,Camponotus_barbosus,296864.0057,5.472557543,Camponotus_barbosus
Camponotus.baronii,Camponotus_baronii,110220.0982,5.042260794,Camponotus_baronii
Camponotus.basuto,Camponotus_basuto,30315.10109,4.481659021,Camponotus_basuto
Camponotus.batesii,Camponotus_batesii,593087.2472,5.773118586,Camponotus_batesii
Camponotus.bayeri,Camponotus_bayeri,7370508.806,6.867497469,Camponotus_bayeri
Camponotus.baynei,Camponotus_baynei,1220325.69,6.086475754,Camponotus_baynei
Camponotus.beccarii,Camponotus_beccarii,456409.0953,5.65935429,Camponotus_beccarii
Camponotus.bedoti,Camponotus_bedoti,3011639.188,6.47880294,Camponotus_bedoti
Camponotus.beebei,Camponotus_beebei,451527.7247,5.654684422,Camponotus_beebei
Camponotus.belliger,Camponotus_belliger,824684.0347,5.916287587,Camponotus_belliger
Camponotus.bellus,Camponotus_bellus,666116.7323,5.823550343,Camponotus_bellus
Camponotus.belumensis,Camponotus_belumensis,132314.5167,5.121607495,Camponotus_belumensis
Camponotus.benguelensis,Camponotus_benguelensis,1247631.21,6.09608623,Camponotus_benguelensis
Camponotus.benguetensis,Camponotus_benguetensis,296864.0057,5.472557543,Camponotus_benguetensis
Camponotus.bermudezi,Camponotus_bermudezi,123059.2568,5.090114288,Camponotus_bermudezi
Camponotus.berthoudi,Camponotus_berthoudi,1220325.69,6.086475754,Camponotus_berthoudi
Camponotus.bertolonii,Camponotus_bertolonii,1802155.917,6.255792362,Camponotus_bertolonii
Camponotus.bevohitra,Camponotus_bevohitra,593087.2472,5.773118586,Camponotus_bevohitra
Camponotus.bianconii,Camponotus_bianconii,1220325.69,6.086475754,Camponotus_bianconii
Camponotus.bidens,Camponotus_bidens,9366282.728,6.971567263,Camponotus_bidens
Camponotus.bifossus,Camponotus_bifossus,1220325.69,6.086475754,Camponotus_bifossus
Camponotus.bigenus,Camponotus_bigenus,2533501.582,6.40372118,Camponotus_bigenus
Camponotus.binghamii,Camponotus_binghamii,1416114.797,6.151098461,Camponotus_binghamii
Camponotus.biolleyi,Camponotus_biolleyi,51420.81554,4.71113896,Camponotus_biolleyi
Camponotus.bishamon,Camponotus_bishamon,181115.1869,5.257954868,Camponotus_bishamon
Camponotus.bispinosus,Camponotus_bispinosus,269462.057,5.430497621,Camponotus_bispinosus
Camponotus.bituberculatus,Camponotus_bituberculatus,1421829.208,6.152847432,Camponotus_bituberculatus
Camponotus.blandus,Camponotus_blandus,14144136.75,7.150576447,Camponotus_blandus
Camponotus.bocki,Camponotus_bocki,1086714.65,6.036115522,Camponotus_bocki
Camponotus.boghossiani,Camponotus_boghossiani,910319.7014,5.959193942,Camponotus_boghossiani
Camponotus.bonariensis,Camponotus_bonariensis,4883338.739,6.688716851,Camponotus_bonariensis
Camponotus.borellii,Camponotus_borellii,2568347.391,6.409653765,Camponotus_borellii
Camponotus.bottegoi,Camponotus_bottegoi,3286739.367,6.516765267,Camponotus_bottegoi
Camponotus.branneri,Camponotus_branneri,4247321.594,6.628115146,Camponotus_branneri
Camponotus.brasiliensis,Camponotus_brasiliensis,5597072.376,6.747960923,Camponotus_brasiliensis
