Phy,Counts
Astragalus oxyglottis,3896
Astragalus palmeri,6713
Astragalus pectinatus,4230
Astragalus pehuenches,3911
Astragalus pelecinus,3944
Astragalus podocarpus,4618
Astragalus politovii,3896
Astragalus ponticus,4191
Astragalus purshii,3918
Astragalus reflexistipulus,3896
Astragalus robbinsii,3905
Astragalus roemeri,3929
Astragalus rusbyi,3916
Astragalus saccocalyx,3921
Astragalus scaberrimus,3899
Astragalus sempervirens,4810
Astragalus sesameus,3896
Astragalus sikkimensis,4021
Astragalus siliquosus,3903
Astragalus sinicus,4179
Astragalus spatulatus,3907
Astragalus steinbergianus,3896
Astragalus stenoceras,3914
Astragalus stevenianus,3898
Astragalus stipulatus,3914
Astragalus subumbellatus,3897
Astragalus sulcatus,4181
Astragalus tenellus,4047
Astragalus tener,4921
Astragalus tenuifolius,3955
Astragalus tibetanus,3968
Astragalus tribuloides,3959
Astragalus trichocarpus,3919
Astragalus trichopodus,3974
Astragalus uliginosus,3953
Astragalus umbellatus,4099
Astragalus utahensis,4026
Astragalus vaginatus,3930
Astragalus vexilliflexus,3896
Astragalus whitneyi,3947
Astragalus wootonii,3896
Astragalus zingeri,3897
Ateleia apetala,254
Ateleia glazioveana,61
Ateleia gummifera,209
Ateleia ovata,1423
Baikiaea insignis,865
Baikiaea plurijuga,31
Balsamocarpon brevifolium,38
Baphia laurifolia,329
Baphia massaiensis,119
Baphia maxima,7617
Baphia pubescens,2671
Baphiopsis parviflora,1208
Baptisia alba,45693
Baptisia australis,7256
Baptisia bracteata,537
Baptisia perfoliata,305
Baptisia tinctoria,1139
Barbieria pinnata,2316
Batesia floribunda,786
Bauhinia acreana,1577
Bauhinia acuminata,4530
Bauhinia acuruana,1524
Bauhinia alata,4204
Bauhinia angulosa,1571
Bauhinia bauhinioides,1524
Bauhinia bidentata,1844
Bauhinia binata,1757
Bauhinia brachycarpa,1596
Bauhinia brevipes,1853
Bauhinia carronii,1527
Bauhinia championii,1553
Bauhinia conwayi,1528
Bauhinia corymbosa,1953
