"Phy","species","RangeY","domY","efnY","n","sum.AM","sum.EM","AM","EM","match"
"Vicia sylvatica","Vicia sylvatica",TRUE,FALSE,FALSE,5,4,1,"Y","Y",TRUE
"Vicia tenuifolia","Vicia tenuifolia",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Vicia tetrasperma","Vicia tetrasperma",TRUE,FALSE,FALSE,4,4,0,"Y","N",TRUE
"Vicia villosa","Vicia villosa",TRUE,FALSE,TRUE,1,1,0,"Y","N",TRUE
"Vigna aconitifolia","Vigna aconitifolia",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Vigna adenantha","Vigna adenantha",TRUE,FALSE,FALSE,4,4,0,"Y","N",TRUE
"Vigna angularis","Vigna angularis",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Vigna dalzelliana","Vigna dalzelliana",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Vigna lanceolata","Vigna lanceolata",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Vigna luteola","Vigna luteola",TRUE,FALSE,TRUE,1,1,0,"Y","N",TRUE
"Vigna marina","Vigna marina",TRUE,FALSE,FALSE,3,3,0,"Y","N",TRUE
"Vigna mungo","Vigna mungo",TRUE,FALSE,FALSE,6,5,0,"Y","N",TRUE
"Vigna parkeri","Vigna parkeri",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Vigna radiata","Vigna radiata",TRUE,FALSE,FALSE,5,5,0,"Y","N",TRUE
"Vigna trilobata","Vigna trilobata",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Vigna unguiculata","Vigna unguiculata",TRUE,FALSE,TRUE,10,10,0,"Y","N",TRUE
"Viminaria juncea","Viminaria juncea",TRUE,FALSE,FALSE,5,4,1,"Y","Y",TRUE
"Virgilia oroboides","Virgilia oroboides",TRUE,FALSE,FALSE,2,1,0,"Y","N",TRUE
"Vouacapoua americana","Vouacapoua americana",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Vouacapoua pallidior","Vouacapoua pallidior",TRUE,FALSE,FALSE,2,1,0,"Y","N",TRUE
"Wisteria floribunda","Wisteria floribunda",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Wisteria sinensis","Wisteria sinensis",TRUE,FALSE,FALSE,2,1,0,"Y","N",TRUE
"Wisteria sinensis","Wisteria villosa",TRUE,FALSE,FALSE,2,1,0,"Y","N",FALSE
"Xeroderris stuhlmannii","Xeroderris stuhlmannii",TRUE,FALSE,FALSE,2,2,0,"Y","N",TRUE
"Xylia xylocarpa","Xylia xylocarpa",TRUE,FALSE,FALSE,5,5,0,"Y","N",TRUE
"Zornia diphylla","Lupinus angustifolius",TRUE,FALSE,FALSE,1,1,0,"Y","N",FALSE
"Zornia diphylla","Zornia diphylla",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Zornia gibbosa","Zornia gibbosa",TRUE,FALSE,FALSE,4,3,0,"Y","N",TRUE
"Zygia longifolia","Zygia longifolia",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
