"Phy","species","RangeY","domY","efnY","n","sum.AM","sum.EM","AM","EM","match"
"Prosopis juliflora","Prosopis juliflora",TRUE,FALSE,TRUE,12,11,0,"Y","N",TRUE
"Prosopis laevigata","Prosopis laevigata",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Prosopis nigra","Prosopis nigra",TRUE,FALSE,FALSE,2,2,0,"Y","N",TRUE
"Prosopis pallida","Prosopis pallida",TRUE,FALSE,TRUE,1,1,0,"Y","N",TRUE
"Pseudarthria viscida","Pseudarthria viscida",TRUE,FALSE,FALSE,2,1,0,"Y","N",TRUE
"Psophocarpus tetragonolobus","Psophocarpus tetragonolobus",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Psoralea pinnata","Psoralea pinnata",TRUE,FALSE,FALSE,3,3,0,"Y","N",TRUE
"Psorothamnus schottii","Psorothamnus schottii",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Psorothamnus spinosus","Psorothamnus spinosus",TRUE,FALSE,FALSE,2,2,0,"Y","N",TRUE
"Pterocarpus amazonum","Pterocarpus amazonum",TRUE,TRUE,FALSE,2,2,0,"Y","N",TRUE
"Pterocarpus angolensis","Pterocarpus angolensis",TRUE,FALSE,FALSE,3,3,0,"Y","N",TRUE
"Pterocarpus antunesii","Pterocarpus antunesii",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Pterocarpus macrocarpus","Pterocarpus macrocarpus",TRUE,FALSE,FALSE,4,4,0,"Y","N",TRUE
"Pterocarpus officinalis","Pterocarpus officinalis",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Pterocarpus rohrii","Pterocarpus rohrii",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Pterocarpus rotundifolius","Pterocarpus rotundifolius",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
