"","Phy","Stratum"
"487","Tetramorium_kraepelini","Arboreal & Epigaeic"
"488","Tetramorium_lanuginosum","Arboreal & Epigaeic"
"489","Tetramorium_lucayanum","Arboreal & Epigaeic"
"490","Tetramorium_obesum","Arboreal & Epigaeic"
"491","Tetramorium_pacificum","Arboreal & Epigaeic"
"492","Tetramorium_pauper","Arboreal & Epigaeic"
"493","Tetramorium_semilaeve","Arboreal & Epigaeic"
"494","Tetramorium_sericeiventre","Arboreal & Epigaeic"
"495","Tetramorium_simillimum","Arboreal & Epigaeic"
"496","Tetramorium_smithi","Arboreal & Epigaeic"
"497","Tetramorium_tonganum","Arboreal & Epigaeic"
"498","Tetramorium_tsushimae","Arboreal & Epigaeic"
"499","Tetraponera_allaborans","Arboreal"
"500","Tetraponera_nigra","Arboreal"
"501","Tetraponera_rufonigra","Arboreal"
"502","Trichomyrmex_destructor","Epigaeic"
"503","Trichomyrmex_mayri","Epigaeic"
"504","Trichomyrmex_robustior","Epigaeic"
"505","Trichomyrmex_wroughtoni","Epigaeic"
"506","Vollenhovia_emeryi","Epigaeic"
"507","Vollenhovia_nipponica","Epigaeic"
"508","Vollenhovia_oblonga alluaudi","Epigaeic"
"509","Vollenhovia_piroskae","Epigaeic"
"510","Wasmannia_auropunctata","Arboreal & Epigaeic"
